well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	16105	15967	5619	5244	418900.5	2410	26314.5	3148	34453.9
A2	194-529-1	194-529-1	15403	15180	5590	5196	378570	2006	30269.5	2905.3	44500.1
A3	194-529-2	194-529-2	16635	16371	5611	5184	419976.5	2229.5	32984	2925.4	44186.6
A4	194-529-3	194-529-3	16913	16640	5539	5110	421973.5	2307.5	33743	2997.1	45079.2
A5	194-555-5	194-555-5	16924	16683	5663	5294	411214.5	2035.5	22452	2718	30174
A6	230-555-1	230-555-1	16834	16538	5763	5325	409719	1549	23204	2066.4	31720.4
A7	230-555-2	230-555-2	16378	16103	5672	5268	412950	1445	19799.5	1916.8	26641.8
A8	230-555-3	230-555-3	18013	17515	5656	5214	425693	1559	23633.5	2013.4	30972.5
A9	194-555-9	194-555-9	16509	16289	5541	5216	407475	1983.5	22083.5	2660.7	30360.1
A10	240-555-1	240-555-1	16855	16582	5323	5042	353262	2118	3913.5	3312.5	6095
A11	240-555-2	240-555-2	16334	16066	5527	5273	346476	1999	3114	3214.7	5006
A12	240-555-3	240-555-3	17049	16738	5447	5190	358581	2467	5122.5	3808.3	7860.9
B1	NA-blank-1	NA-blank-1	280	113	47	40	283832.5	2052.5	3187	3511.4	6203.6
B2	194-373-1	194-373-1	18201	17679	5510	5159	392674	2180	1372	2968.7	1915.6
B3	194-373-2	194-373-2	17406	16896	5418	5027	388989	2184	1617	2993.8	2243.6
B4	194-373-3	194-373-3	18498	17866	5126	4734	374284.5	2058	1362.5	2882.3	1933.9
B5	NA-156-2	NA-156-2	16007	15772	5517	5121	409477	890	468	1184	617.2
B6	230-373-1	230-373-1	16111	15770	5415	5078	351639.5	3618	6342	5739.5	10065
B7	230-373-2	230-373-2	17471	17082	5324	5049	359444	3336	7571	5153.6	11525.6
B8	230-373-3	230-373-3	18064	17570	5349	5028	354722.5	2707	5464.5	4267.2	8724.9
B9	NA-373-3	NA-373-3	17088	16645	5522	5187	378003	862	954	1241.3	1403.9
B10	240-373-1	240-373-1	19216	18633	5075	4792	348277.5	3727	6609	5905.4	10432.6
B11	240-373-2	240-373-2	17508	17030	5510	5220	339875	2995.5	4699.5	4934.6	7826
B12	240-373-3	240-373-3	16648	16232	5480	5184	338945	3045.5	5675.5	5061.9	9457.5
