well,file,sample
A5,194-555-5,194-555-5
A9,194-555-9,194-555-9
B1,NA-blank-1,NA-blank-1
B5,NA-156-2,NA-156-2
B9,NA-373-3,NA-373-3
C1,194-555-2,194-555-2
C5,194-555-6,194-555-6
C9,194-555-10,194-555-10
D1,NA-555-1,NA-555-1
D5,NA-blank-2,NA-blank-2
D9,NA-156-3,NA-156-3
E1,194-555-3,194-555-3
E5,194-555-7,194-555-7
E9,194-555-11,194-555-11
F1,NA-373-1,NA-373-1
F5,NA-555-2,NA-555-2
F9,NA-blank-3,NA-blank-3
G1,194-555-4,194-555-4
G5,194-555-8,194-555-8
G9,194-555-12,194-555-12
H1,NA-156-1,NA-156-1
H5,NA-373-2,NA-373-2
H9,NA-555-3,NA-555-3
A1,194-555-1,194-555-1
A2,194-529-1,194-529-1
A3,194-529-2,194-529-2
A4,194-529-3,194-529-3
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
C2,188-555-1,188-555-1
C3,188-555-2,188-555-2
C4,188-555-3,188-555-3
D2,188-373-1,188-373-1
D3,188-373-2,188-373-2
D4,188-373-3,188-373-3
E2,229-555-1,229-555-1
E3,229-555-2,229-555-2
E4,229-555-3,229-555-3
F2,229-373-1,229-373-1
F3,229-373-2,229-373-2
F4,229-373-3,229-373-3
G2,241-555-1,241-555-1
G3,241-555-2,241-555-2
G4,241-555-3,241-555-3
H2,241-373-1,241-373-1
H3,241-373-2,241-373-2
H4,241-373-3,241-373-3
A6,230-555-1,230-555-1
A7,230-555-2,230-555-2
A8,230-555-3,230-555-3
B6,230-373-1,230-373-1
B7,230-373-2,230-373-2
B8,230-373-3,230-373-3
C6,231-555-1,231-555-1
C7,231-555-2,231-555-2
C8,231-555-3,231-555-3
D6,231-373-1,231-373-1
D7,231-373-2,231-373-2
D8,231-373-3,231-373-3
E6,252-555-1,252-555-1
E7,252-555-2,252-555-2
E8,252-555-3,252-555-3
F6,252-373-1,252-373-1
F7,252-373-2,252-373-2
F8,252-373-3,252-373-3
G6,253-555-1,253-555-1
G7,253-555-2,253-555-2
G8,253-555-3,253-555-3
H6,253-373-1,253-373-1
H7,253-373-2,253-373-2
H8,253-373-3,253-373-3
A10,240-555-1,240-555-1
A11,240-555-2,240-555-2
A12,240-555-3,240-555-3
B10,240-373-1,240-373-1
B11,240-373-2,240-373-2
B12,240-373-3,240-373-3
C10,233-555-1,233-555-1
C11,233-555-2,233-555-2
C12,233-555-3,233-555-3
D10,233-373-1,233-373-1
D11,233-373-2,233-373-2
D12,233-373-3,233-373-3
E10,250-555-1,250-555-1
E11,250-555-2,250-555-2
E12,250-555-3,250-555-3
F10,250-373-1,250-373-1
F11,250-373-2,250-373-2
F12,250-373-3,250-373-3
G10,251-555-1,251-555-1
G11,251-555-2,251-555-2
G12,251-555-3,251-555-3
H10,251-373-1,251-373-1
H11,251-373-2,251-373-2
H12,251-373-3,251-373-3
