well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	23156	22893	8373	7590	425229	2214	21918	2799	27931.1
A2	194-529-1	194-529-1	23129	22938	8310	7637	382054	1671	12807	2390.3	18334.3
A3	194-529-2	194-529-2	23538	23257	8267	7650	361525	1333.5	10936	2010.8	16636.6
A4	194-529-3	194-529-3	25760	25431	8233	7502	379203	1612	13686	2352	19947.5
A5	194-555-5	194-555-5	22350	22138	8267	7668	414492	2026.5	18330	2644.1	24791.8
A6	416-555-1	416-555-1	28592	28206	8342	7878	341407.5	1842.5	1953	2932.4	3063.2
A7	416-555-2	416-555-2	27197	26920	8568	8174	362731.5	1973.5	2128.5	2981.1	3125.5
A8	416-555-3	416-555-3	24267	24074	8353	7971	364780	1850	1661	2813.2	2459.7
A9	194-555-9	194-555-9	21200	21078	8459	7864	400703	1987	15798.5	2762	22362.9
A10	422-555-1	422-555-1	8993	8321	2427	2153	455150	3805	39126	4946.3	49429.8
A11	422-555-2	422-555-2	10049	9410	3270	2983	404074	3290	27748	4682.7	41472.8
A12	422-555-3	422-555-3	7965	6696	1077	711	482218	4553	37963	5026.2	41414.8
B1	NA-blank-1	NA-blank-1	528	74	7	7	166104	2569	1139	9689.6	3198.8
B2	194-373-1	194-373-1	23365	22785	8252	7817	369116	2067	893	2996.8	1305.9
B3	194-373-2	194-373-2	27349	26577	7960	7525	352103	1943	893	2931.6	1367.4
B4	194-373-3	194-373-3	23060	22463	8192	7826	361692	1851	883	2794.4	1319
B5	NA-156-2	NA-156-2	20906	20781	8578	8036	399456	695	89	945.8	117.9
B6	416-373-1	416-373-1	22874	22565	8407	7928	333545	1298	706	2114.6	1164.2
B7	416-373-2	416-373-2	26839	26030	8399	7854	376542	1802	831	2489.2	1152.2
B8	416-373-3	416-373-3	24700	24137	8364	7826	379701.5	1814	803	2488.7	1119.1
B9	NA-373-3	NA-373-3	24462	24050	8509	7961	372067	744	580	1093.3	861.1
B10	422-373-1	422-373-1	25196	24800	8281	7701	363677	2746	7876	4291	12371.8
B11	422-373-2	422-373-2	25694	25312	8416	7866	354155.5	2703	6786	4258.5	10618.2
B12	422-373-3	422-373-3	24482	24222	8385	7750	359971	3145.5	7331	4861.5	11371.5
C1	194-555-2	194-555-2	20471	20380	8521	7984	386742.5	1527	13505	2202.2	19518.1
C2	188-555-1	188-555-1	26131	25707	8521	7780	387369.5	1579	11655.5	2235	16578.5
C3	188-555-2	188-555-2	25074	24741	8466	7755	377368	1437	10965	2110.9	16244.7
C4	188-555-3	188-555-3	25030	24724	8341	7649	377005	1539	10533	2265.9	15897.8
C5	194-555-6	194-555-6	22084	21879	8499	7847	414353	1915	16987	2530.6	22905.3
C6	417-555-1	417-555-1	21358	21216	8373	7839	376195	1632	4536	2384.5	6588.2
C7	417-555-2	417-555-2	22592	22400	8445	7847	383212	1843	5013	2606.4	7185.8
C8	417-555-3	417-555-3	20989	20903	8267	7688	380556	1856	5450.5	2663.2	7812.6
C9	194-555-10	194-555-10	24803	24554	8508	7852	429792.5	2283.5	20642	2893.3	26155.3
C10	423-555-1	423-555-1	21667	21386	8469	8040	382169	2725.5	585	3817.2	834.9
C11	423-555-2	423-555-2	24547	24207	8721	8241	371740	1823	834	2585.9	1203.1
C12	423-555-3	423-555-3	9762	9166	2413	2129	461502	4197	36549	5143.3	44079
D1	NA-555-1	NA-555-1	20586	20488	8474	7760	360178.5	721	474	1081.2	711.9
D2	188-373-1	188-373-1	22520	22241	8329	7678	353869	1406	8947.5	2217.5	14344.8
D3	188-373-2	188-373-2	22956	22542	8177	7540	366883.5	1379	9478	2115.2	14824.3
D4	188-373-3	188-373-3	23314	23000	8292	7682	348353	1193	8406	1891.3	13355.4
D5	NA-blank-2	NA-blank-2	580	202	93	75	163697	3830	807	14219.9	3064.8
D6	417-373-1	417-373-1	22215	21923	8171	7648	334101.5	2762	4072.5	4555.6	6771.2
D7	417-373-2	417-373-2	25557	25036	7916	7456	335391.5	3439	5406	5817	9033.4
D8	417-373-3	417-373-3	22265	21985	8153	7649	341334	3042	4677	5000.8	7698.2
D9	NA-156-3	NA-156-3	22668	22511	8778	8261	406254	689	166	921.1	220.2
D10	423-373-1	423-373-1	25121	24651	8119	7563	351413	2966	6561	4728.3	10358
D11	423-373-2	423-373-2	29135	28387	8160	7521	365340	3467	7395	5163.2	11080
D12	423-373-3	423-373-3	24496	24063	8277	7645	358841	3170	6449	4868.7	9959.2
E1	194-555-3	194-555-3	20800	20660	8503	7915	373846	1294	12977	1911.2	19310.6
E2	420-555-1	420-555-1	26408	25657	8870	8203	468618	2456	33329	2799	37936.9
E3	420-555-2	420-555-2	9980	9167	2367	2105	467027	2867	45450	3239.9	52178.4
E4	420-555-3	420-555-3	4454	3892	974	878	454434.5	2922.5	43608	3235.8	50593.1
E5	194-555-7	194-555-7	21626	21493	8571	7971	403577	1704	15206	2353.3	21618.4
E6	418-555-1	418-555-1	25067	24483	8663	7982	407368	2756.5	13187.5	3744.7	17875
E7	418-555-2	418-555-2	30948	30329	8555	7798	413028.5	3086	14455	4019.9	19254.6
E8	418-555-3	418-555-3	23472	23157	8664	7931	408002	2997	13811	3977.3	18633.4
E9	194-555-11	194-555-11	22889	22695	8678	8033	426164	2105	19404	2731.8	25285.8
E10	424-555-1	424-555-1	18401	17717	5593	5050	434499	3896	31513.5	4929.6	39888.8
E11	424-555-2	424-555-2	13821	13075	3316	3016	451302	4224	35620	5051	42459.7
E12	424-555-3	424-555-3	10116	9654	2726	2454	459192.5	4374.5	38819	5122.9	44942.5
F1	NA-373-1	NA-373-1	23589	23110	8482	7932	355593	704	588	1062.8	893.4
F2	420-373-1	420-373-1	20894	20715	8267	7620	328419	3113	5533.5	5471.3	9854.8
F3	420-373-2	420-373-2	21876	21606	8015	7423	340367	3547	5811	5884.8	9687.1
F4	420-373-3	420-373-3	23827	23368	7893	7392	317656	2772	4820.5	5098.5	8936.1
F5	NA-555-2	NA-555-2	20011	19910	8545	8069	345671	697	417	1087.4	646.5
F6	418-373-1	418-373-1	23474	23059	8322	7739	340342	3441	4797	5743	8014.7
F7	418-373-2	418-373-2	28335	27373	8293	7756	362586.5	4014	5397.5	6142.2	8326.4
F8	418-373-3	418-373-3	25711	25192	8404	7839	342213	3452	4568	5680.4	7432.4
F9	NA-blank-3	NA-blank-3	531	92	20	18	294251.5	1324	1666	3188.4	3113.5
F10	424-373-1	424-373-1	23413	23035	8270	7735	322624	3281	4356	5828.9	7786.2
F11	424-373-2	424-373-2	24937	24464	8034	7490	341999.5	5140.5	6938.5	8289.7	11191.9
F12	424-373-3	424-373-3	22916	22604	8087	7570	331560	4466	5727	7427.1	9640.5
G1	194-555-4	194-555-4	20136	20028	8399	7841	400173	1629	14270	2271.8	19977.5
G2	421-555-1	421-555-1	33874	30289	8076	7090	474157	2650	29095	2824.6	31496.4
G3	421-555-2	421-555-2	31805	29618	9210	8437	467129	2116	23737	2317.9	26237.7
G4	421-555-3	421-555-3	35121	32578	9197	8517	470365	2772	30143	2954.8	32372.5
G5	194-555-8	194-555-8	25968	25744	8505	7946	397120	1554	13540	2147.3	19230.9
G6	419-555-1	419-555-1	23505	23219	8573	8013	415053	2771	11470	3744.5	15418
G7	419-555-2	419-555-2	22339	22132	8485	7855	421024	3224	12793	4274.2	17121.3
G8	419-555-3	419-555-3	23707	23374	8481	7865	415788	3331	12894	4396.4	17123.1
G9	194-555-12	194-555-12	20514	20399	8506	7937	407470	1585	14145	2178.7	19648
G10	425-555-1	425-555-1	15162	14725	4785	4298	426174.5	3867	34485.5	5060	45012
G11	425-555-2	425-555-2	6193	5842	1754	1171	444935	4114	37821	5080.5	47344.6
