plasmid	set	symbol	group	A_PHO2	A_pho2	s_PHO2	s_pho2	boost	full
218	A	CCSSC	chimera	21.6	2.8	1.26	2.9	7.71	Cg(1-112) Sc(100-242) Cg(459-533)
420	N	CCSSC	chimera	21.64	2.06	1.26	2.14	10.49	Cg(1-112) Sc(100-250) Cg(464-544)
211	A	CCCSC	chimera	22.3	4.79	1.3	4.96	4.65	Cg(1-282) Sc(177-242) Cg(459-533)
422	N	CCCSC	chimera	13.15	3.74	0.77	3.88	3.51	Cg(1-282) Sc(177-250) Cg(464-533)
241	A	CSSSC	chimera	15.23	2.42	0.89	2.51	6.29	Cg(1-44) Sc(43-243) Cg(459-533)
410	N	CSSSC	chimera	17.42	1.64	1.01	1.7	10.59	Cg(1-44) Sc(43-250) Cg(464-533)
252	A	SCSSC	chimera	13.5	1.34	0.79	1.39	10.07	Sc(1-42) Cg(45-112) Sc(100-242) Cg(459-533)
421	N	SCSSC	chimera	15.46	0.5	0.9	0.52	30.92	Sc(1-42) Cg(45-112) Sc(100-250) Cg(464-533)
233	A	SSSSC	chimera	13.98	0.43	0.81	0.45	32.53	Sc(1-242) Cg(459-533)
407	N	SSSSC	chimera	9.42	0.61	0.55	0.63	15.46	Sc(1-250) Cg(464-533)
239	A	SSCSC	chimera	16.45	2.76	0.96	2.86	5.96	Sc(1-99) Cg(113-282) Sc(177-242) Cg(459-533)
424	N	SSCSC	chimera	10.84	1.67	0.63	1.73	6.49	Sc(1-99) Cg(113-282) Sc(177-250) Cg(464-533)
251	A	SCCSC	chimera	16.47	2.2	0.96	2.28	7.48	Sc(1-42) Cg(45-282) Sc(177-242) Cg(459-533)
425	N	SCCSC	chimera	11.3	1.55	0.66	1.6	7.3	Sc(1-42) Cg45-282) Sc(177-250) Cg(464-533)
223	A	CSCSC	chimera	19.19	4.25	1.12	4.4	4.51	Cg(1-44) Sc(43-99) Cg(113-282) Sc(177-242) Cg(459-533)
423	N	CSCSC	chimera	4.02	3.03	0.23	3.14	1.33	Cg(1-44) Sc(43-99) Cg(113-282) Sc(177-250) Cg(464-533)
210	A	CCCCS	chimera	5.4	5.48	0.31	5.67	0.99	Cg(1-458) Sc(243-312)
406	N	CCCCS	chimera	7.09	6.56	0.41	6.8	1.08	Cg(1-463) Sc(251-312)
253	A	CSCCS	n.f.	3.05	3.13	0.18	3.24	0.97	Cg(1-44) Sc(43-99) Cg(113-458) Sc(243-312)
411	N	CSCCS	chimera	4.29	4.48	0.25	4.64	0.96	Cg(1-44) Sc(43-99) Cg(113-463) Sc251-312)
216	A	SCCCS	n.f.	2.17	2.66	0.13	2.76	0.82	Sc(1-42) Cg(45-458) Sc(243-312)
408	N	SCCCS	n.f.	3.16	3.4	0.18	3.52	0.93	Sc(1-42) Cg(45-463) Sc(251-312)
240	A	CCSCS	n.f.	2.8	2.35	0.16	2.43	1.19	Cg(1-112) Sc(100-176) Cg(283-458) Sc(243-312)
413	N	CCSCS	n.f.	2.59	2.65	0.15	2.74	0.98	Cg(1-112) Sc(100-176) Cg(283-463) Sc(251-312)
235	A	SSCCS	n.f.	1.89	1.8	0.11	1.86	1.05	Sc(1-99) Cg(113-458) Sc(243-312)
409	N	SSCCS	n.f.	2.38	2.39	0.14	2.47	1	Sc(1-99) Cg113-464) Sc(251-312)
250	A	CSSCS	n.f.	1.53	1.4	0.09	1.45	1.09	Cg(1-44) Sc(43-176) Cg(283-458) Sc(243-312)
412	N	CSSCS	n.f.	1.88	1.81	0.11	1.87	1.04	Cg(1-44) Sc(43-176) Cg(283-463) Sc(251-312)
224	A	SCSCS	n.f.	1	1.16	0.06	1.2	0.87	Sc(1-42) Cg(45-112) Sc(100-176) Cg(283-458) Sc(243-312)
414	N	SCSCS	n.f.	0.71	0.8	0.04	0.83	0.88	Sc(1-42) Cg(45-112) Sc(100-176) Cg(283-463) Sc(251-312)
229	A	SSSCS	n.f.	0.98	1.05	0.06	1.09	0.94	Sc(1-176) Cg(283-458) Sc(243-312)
415	N	SSSCS	n.f.	0.61	0.86	0.04	0.89	0.71	Sc(1-176) Cg(283-463) Sc(251-312)
258	SA	CCCcsC	chimera	11.01	4.18	0.64	4.33	2.63	Cg(1-327) Sc(205-242) Cg(459-533)
418	SN	CCCcsC	chimera	6.23	1.74	0.36	1.8	3.58	Cg(1-327) Sc(205-250) Cg(464-533)
254	SA	CSScsC	chimera	8.83	2.18	0.51	2.26	4.04	Cg(1-44) Sc(43-176) Cg(283-327) Sc(205-242) Cg(459-533)
419	SN	CSScsC	chimera	5.24	0.92	0.31	0.96	5.68	Cg(1-44) Sc(43-176) Cg(283-327) Sc(205-250) Cg(464-533)
279	SA	CSSscS	chimera	5.33	1.91	0.31	1.98	2.79	Cg(1-44) Sc(43-204) Cg(328-458) Sc(243-312)
417	SN	CSSscS	chimera	5.42	2	0.32	2.07	2.71	Cg(1-44) Sc(43-204) Cg(328-463) Sc(251-312)
278	SA	SSSscS	n.f.	2.58	1.28	0.15	1.32	2.02	Sc(1-204) Cg(328-458) Sc(243-312)
416	SN	SSSscS	n.f.	1.94	0.89	0.11	0.92	2.18	Sc(1-204) Cg(328-463) Sc(251-312)
