plasmid_id	chimera_makeup	host	A
194	SSSSS	PHO2	18.233754090696586
194	SSSSS	PHO2	15.823477100933749
194	SSSSS	PHO2	14.172722982538934
436	CCSCW	PHO2	19.578271604938273
436	CCSCW	PHO2	22.432739059967584
436	CCSCW	PHO2	25.462403373155304
438	SSSCW	PHO2	2.7775844065436828
438	SSSCW	PHO2	8.24780829924021
438	SSSCW	PHO2	9.585407725321888
194	SSSSS	PHO2	16.221516474791585
436	CCSCW	pho2	1.1416856492027334
436	CCSCW	pho2	1.2467932272960494
436	CCSCW	pho2	1.2652313330279432
438	SSSCW	pho2	0.1811750835134604
438	SSSCW	pho2	0.2770232349309687
438	SSSCW	pho2	0.6872012745618693
194	SSSSS	pho2	0.6911970190964136
194	SSSSS	pho2	0.7235739928201037
194	SSSSS	pho2	0.853672004417449
194	SSSSS	PHO2	17.381316998468606
240	CCSCS	PHO2	1.4217468805704099
240	CCSCS	PHO2	1.5718562874251496
240	CCSCS	PHO2	1.7260956175298805
229	SSSCS	PHO2	0.21766409266409267
229	SSSCS	PHO2	0.5164775796866559
229	SSSCS	PHO2	0.6586141131595677
194	SSSSS	PHO2	18.038961038961038
188	CCCCC	PHO2	15.57190412782956
188	CCCCC	PHO2	15.485342019543975
188	CCCCC	PHO2	15.69351100811124
240	CCSCS	pho2	1.6581049334377447
240	CCSCS	pho2	1.645091481408617
240	CCSCS	pho2	1.6742271812694347
229	SSSCS	pho2	0.2820989087531925
229	SSSCS	pho2	0.6498300145701797
229	SSSCS	pho2	0.6636207881210737
188	CCCCC	pho2	14.792903692976104
188	CCCCC	pho2	13.381912817176318
188	CCCCC	pho2	16.471337579617835
194	SSSSS	PHO2	13.940655105973025
194	SSSSS	PHO2	13.022449783379283
194	SSSSS	PHO2	13.299768135144088
194	SSSSS	PHO2	10.67279801910152
194	SSSSS	PHO2	11.997485067588809
194	SSSSS	PHO2	14.90319967598218
194	SSSSS	PHO2	14.401623686723973
436	CCSCW	PHO2	23.839871897518016
436	CCSCW	PHO2	23.7762139338494
436	CCSCW	PHO2	28.293469041560645
194	SSSSS	PHO2	13.168217342761444
438	SSSCW	PHO2	9.681539807524059
438	SSSCW	PHO2	9.842926829268293
438	SSSCW	PHO2	13.6672760511883
194	SSSSS	PHO2	14.38755980861244
436	CCSCW	pho2	1.2293080054274084
436	CCSCW	pho2	1.5231825987406984
436	CCSCW	pho2	1.4821080026024724
438	SSSCW	pho2	0.5354439091534756
438	SSSCW	pho2	0.3412380659069911
438	SSSCW	pho2	0.8010704727921498
194	SSSSS	PHO2	12.712074303405572
240	CCSCS	PHO2	1.163265306122449
240	CCSCS	PHO2	1.5646753246753247
240	CCSCS	PHO2	1.8404613166746757
194	SSSSS	PHO2	12.551138556541876
229	SSSCS	PHO2	0.5768958185683912
229	SSSCS	PHO2	0.5350036845983788
229	SSSCS	PHO2	0.6105810928013877
194	SSSSS	PHO2	15.543115124153498
240	CCSCS	pho2	1.9857185361499554
240	CCSCS	pho2	2.1465187452180565
240	CCSCS	pho2	1.7969267851762578
229	SSSCS	pho2	0.5980780101752402
229	SSSCS	pho2	0.5423094904160822
229	SSSCS	pho2	0.5309625996321276
194	SSSSS	PHO2	14.067118425298483
440	CSCCW	PHO2	17.119962067330487
440	CSCCW	PHO2	17.604227833235466
440	CSCCW	PHO2	18.07537399309551
