Pair_No	Area	Mean	IntDen	Median	RawIntDen	Group	Locus
1	0.659	1859.551	1225.605	1891	290090	Cg	nuclei
2	1.546	607.544	939.456	621	222361	Cg	nuclei
3	1.403	602.551	845.181	595	200047	Cg	nuclei
4	1.052	675.008	710.111	656	168077	Cg	nuclei
5	1.563	368.3	575.733	367	136271	Cg	nuclei
6	0.773	957.601	740.378	959	175241	Cg	nuclei
7	1.538	830.942	1277.88	853	302463	Cg	nuclei
8	0.782	1111.957	869.115	1136	205712	Cg	nuclei
9	0.486	1145.591	556.603	1193	131743	Cg	nuclei
10	1.251	587.064	734.167	594	173771	Cg	nuclei
1	12.937	545.76	7060.32	393	1671116	Cg	wc
2	17.964	364.348	6545.265	336	1549207	Cg	wc
3	11.931	404.848	4830.301	388	1143290	Cg	wc
4	10.216	394.782	4033.034	339	954584	Cg	wc
5	25.117	319.08	8014.364	314	1896930	Cg	wc
6	13.207	427.997	5652.591	377	1337919	Cg	wc
7	7.968	473.865	3775.847	389	893710	Cg	wc
8	9.075	486.189	4412.216	393	1044333	Cg	wc
9	5.898	485.617	2864.157	386	677921	Cg	wc
10	13.71	318.764	4370.204	285	1034389	Cg	wc
1	12.937	451.021	5834.715	375	1381026	Cg	cytoplasm
2	17.964	312.052	5605.809	321	1326846	Cg	cytoplasm
3	11.931	334.01	3985.12	363	943243	Cg	cytoplasm
4	10.216	325.272	3322.924	314	786507	Cg	cytoplasm
5	25.117	296.158	7438.631	300	1760659	Cg	cytoplasm
6	13.207	371.938	4912.213	360	1162678	Cg	cytoplasm
7	7.968	313.493	2497.967	345	591247	Cg	cytoplasm
8	9.075	390.419	3543.101	365	838621	Cg	cytoplasm
9	5.898	391.245	2307.555	357	546178	Cg	cytoplasm
10	13.71	265.214	3636.036	272	860618	Cg	cytoplasm
1	1.044	1806.462	1885.139	1875	446196	Sc	nuclei
2	1.339	468.912	628.012	469	148645	Sc	nuclei
3	1.373	440.102	604.302	440	143033	Sc	nuclei
4	0.63	1004.919	632.609	1025	149733	Sc	nuclei
5	1.293	989.742	1279.561	986	302861	Sc	nuclei
6	1.643	840.378	1381.154	863	326907	Sc	nuclei
7	1.673	1015.823	1699.539	1021	402266	Sc	nuclei
8	0.714	980.586	700.148	987	165719	Sc	nuclei
9	1.276	1049.232	1338.74	1050	316868	Sc	nuclei
10	1.006	370.815	372.865	372	88254	Sc	nuclei
1	11.961	547.792	6551.991	365	1550799	Sc	wc
2	16.072	366.223	5885.781	365	1393113	Sc	wc
3	13.452	342.07	4601.568	341	1089151	Sc	wc
4	10.448	412.526	4310.163	342	1020178	Sc	wc
5	11.855	443.971	5263.329	359	1245784	Sc	wc
6	15.455	396.059	6120.982	318	1448783	Sc	wc
7	12.949	461.134	5971.395	370	1413377	Sc	wc
8	11.661	426.224	4970.099	354	1176379	Sc	wc
9	11.327	439.633	4979.719	354	1178656	Sc	wc
10	17.419	303.004	5278.125	301	1249286	Sc	wc
1	11.961	390.181	4666.852	341	1104603	Sc	cytoplasm
2	16.072	327.147	5257.769	331	1244468	Sc	cytoplasm
3	13.452	297.148	3997.266	319	946118	Sc	cytoplasm
4	10.448	351.979	3677.554	328	870445	Sc	cytoplasm
5	11.855	336.038	3983.768	336	942923	Sc	cytoplasm
6	15.455	306.691	4739.829	297	1121876	Sc	cytoplasm
7	12.949	329.889	4271.856	335	1011111	Sc	cytoplasm
8	11.661	366.181	4269.951	342	1010660	Sc	cytoplasm
