Pair_No	Area	Mean	IntDen	Median	RawIntDen	Group	Locus
1	1.648	924.546	1523.39	915	360573	Cg	nuclei
2	0.689	1069.853	736.766	1067	174386	Cg	nuclei
3	1.483	933.43	1384.225	929	327634	Cg	nuclei
4	1.622	1517.831	2462.478	1571	582847	Cg	nuclei
5	0.976	756.766	738.57	746	174813	Cg	nuclei
6	0.342	994.963	340.494	1005	80592	Cg	nuclei
7	1.162	859.695	998.837	876	236416	Cg	nuclei
8	1.462	1028.847	1503.989	1015	355981	Cg	nuclei
9	0.659	830.795	547.566	834	129604	Cg	nuclei
10	1.504	390.66	587.58	390	139075	Cg	nuclei
1	11.648	513.871	5985.616	442	1416743	Cg	wc
2	11.952	504.496	6029.88	440	1427220	Cg	wc
3	13.541	486.184	6583.34	426	1558219	Cg	wc
4	14.377	631.662	9081.649	478	2149547	Cg	wc
5	10.951	443.97	4861.907	393	1150771	Cg	wc
6	8.116	466.296	3784.483	400	895754	Cg	wc
7	18.235	492.617	8982.735	455	2126135	Cg	wc
8	14.099	536.651	7565.987	458	1790803	Cg	wc
9	10.321	528.916	5459.192	492	1292143	Cg	wc
10	14.424	367.821	5305.396	367	1255741	Cg	wc
1	11.648	383.087	4462.226	414	1056170	Cg	cytoplasm
2	11.952	442.854	5293.115	428	1252834	Cg	cytoplasm
3	13.541	383.958	5199.115	404	1230585	Cg	cytoplasm
4	14.377	460.388	6619.171	442	1566700	Cg	cytoplasm
5	10.951	376.527	4123.338	379	975958	Cg	cytoplasm
6	8.116	424.343	3443.989	392	815162	Cg	cytoplasm
7	18.235	437.84	7983.898	444	1889719	Cg	cytoplasm
8	14.099	429.974	6061.998	416	1434822	Cg	cytoplasm
9	10.321	475.865	4911.626	470	1162539	Cg	cytoplasm
10	14.424	327.084	4717.817	355	1116666	Cg	cytoplasm
1	1.115	606.966	676.996	619	160239	Sc	nuclei
2	1.242	349.187	433.734	348	102661	Sc	nuclei
3	1.348	385.342	519.343	387	122924	Sc	nuclei
4	1.128	374.622	422.593	374	100024	Sc	nuclei
5	1.474	359.731	530.421	364	125546	Sc	nuclei
6	2.239	600.279	1344.148	608	318148	Sc	nuclei
7	1.901	586.511	1115.081	588	263930	Sc	nuclei
8	1.96	327.457	641.933	334	151940	Sc	nuclei
9	1.863	338.356	630.42	338	149215	Sc	nuclei
10	1.39	317.821	441.77	317	104563	Sc	nuclei
1	17.994	347.621	6255.06	318	1480518	Sc	wc
2	15.717	303.47	4769.547	303	1128910	Sc	wc
3	21.97	302.214	6639.506	297	1571513	Sc	wc
4	18.273	294.543	5382.117	290	1273900	Sc	wc
5	11.788	281.873	3322.586	271	786427	Sc	wc
6	21.661	375.932	8143.118	344	1927405	Sc	wc
7	18.835	359.153	6764.517	329	1601102	Sc	wc
8	16.114	271.703	4378.18	267	1036277	Sc	wc
9	15.383	290.992	4476.304	288	1059502	Sc	wc
10	19.152	271.861	5206.555	270	1232346	Sc	wc
1	17.994	309.997	5578.064	311	1320279	Sc	cytoplasm
2	15.717	275.873	4335.813	296	1026249	Sc	cytoplasm
3	21.97	278.575	6120.163	291	1448589	Sc	cytoplasm
4	18.273	271.416	4959.524	284	1173876	Sc	cytoplasm
5	11.788	236.875	2792.165	261	660881	Sc	cytoplasm
6	21.661	313.879	6798.971	330	1609257	Sc	cytoplasm
7	18.835	299.949	5649.435	317	1337172	Sc	cytoplasm
8	16.114	231.866	3736.247	256	884337	Sc	cytoplasm
9	15.383	250.01	3845.883	278	910287	Sc	cytoplasm
10	19.152	248.794	4764.785	264	1127783	Sc	cytoplasm
1	1.158	1508.719	1746.533	1566	413389	B11	nuclei
2	0.938	1352.568	1268.615	1352	300270	B11	nuclei
