Pair_No,Formula,Group,Locus,Mean,Median,IntDen
1,nuc_to_wc,Cg,wc,3.407268763,4.811704835,0.173590574
2,nuc_to_wc,Cg,wc,1.667482736,1.848214286,0.143532156
3,nuc_to_wc,Cg,wc,1.488338833,1.533505155,0.17497481
4,nuc_to_wc,Cg,wc,1.709824663,1.935103245,0.176073646
5,nuc_to_wc,Cg,wc,1.154255986,1.168789809,0.071837641
6,nuc_to_wc,Cg,wc,2.237401197,2.543766578,0.130980289
7,nuc_to_wc,Cg,wc,1.753541621,2.192802057,0.338435323
8,nuc_to_wc,Cg,wc,2.287087943,2.890585242,0.19697925
9,nuc_to_wc,Cg,wc,2.359042208,3.090673575,0.19433397
10,nuc_to_wc,Cg,wc,1.841688522,2.084210526,0.16799376
1,nuc_to_cyto,Cg,cytoplasm,4.12298097,5.042666667,0.210053962
2,nuc_to_cyto,Cg,cytoplasm,1.946931922,1.934579439,0.167586159
3,nuc_to_cyto,Cg,cytoplasm,1.803990898,1.639118457,0.212084203
4,nuc_to_cyto,Cg,cytoplasm,2.0752109,2.089171975,0.213700644
5,nuc_to_cyto,Cg,cytoplasm,1.243592947,1.223333333,0.077397709
6,nuc_to_cyto,Cg,cytoplasm,2.574625341,2.663888889,0.150721884
7,nuc_to_cyto,Cg,cytoplasm,2.650591879,2.472463768,0.511568007
8,nuc_to_cyto,Cg,cytoplasm,2.8481119,3.112328767,0.245297834
9,nuc_to_cyto,Cg,cytoplasm,2.928065534,3.341736695,0.241208985
10,nuc_to_cyto,Cg,cytoplasm,2.213548304,2.183823529,0.201914117
1,nuc_to_wc,Sc,wc,3.297715191,5.136986301,0.287720023
2,nuc_to_wc,Sc,wc,1.280400193,1.284931507,0.106699859
3,nuc_to_wc,Sc,wc,1.286584617,1.290322581,0.131325235
4,nuc_to_wc,Sc,wc,2.43601373,2.997076023,0.146771479
5,nuc_to_wc,Sc,wc,2.229294256,2.746518106,0.243108687
6,nuc_to_wc,Sc,wc,2.121850532,2.713836478,0.225642552
7,nuc_to_wc,Sc,wc,2.202880291,2.759459459,0.284613394
8,nuc_to_wc,Sc,wc,2.300635347,2.788135593,0.140872043
9,nuc_to_wc,Sc,wc,2.386608831,2.966101695,0.268838463
10,nuc_to_wc,Sc,wc,1.223795725,1.235880399,0.070643458
1,nuc_to_cyto,Sc,cytoplasm,4.629805142,5.498533724,0.403942315
2,nuc_to_cyto,Sc,cytoplasm,1.433337307,1.416918429,0.119444578
3,nuc_to_cyto,Sc,cytoplasm,1.481086866,1.379310345,0.151178831
4,nuc_to_cyto,Sc,cytoplasm,2.855053853,3.125,0.172018956
5,nuc_to_cyto,Sc,cytoplasm,2.945327612,2.93452381,0.321193654
6,nuc_to_cyto,Sc,cytoplasm,2.740145619,2.905723906,0.291393213
7,nuc_to_cyto,Sc,cytoplasm,3.079287275,3.047761194,0.397845573
8,nuc_to_cyto,Sc,cytoplasm,2.677872418,2.885964912,0.163970968
9,nuc_to_cyto,Sc,cytoplasm,3.26413081,3.240740741,0.367686823
10,nuc_to_cyto,Sc,cytoplasm,1.316819307,1.282758621,0.076013316
1,nuc_to_wc,A12,wc,1.684921709,1.914040115,0.187691731
2,nuc_to_wc,A12,wc,1.916977626,2.122112211,0.182280034
3,nuc_to_wc,A12,wc,1.930927028,2.177710843,0.146396338
4,nuc_to_wc,A12,wc,1.568575479,1.70096463,0.091449318
5,nuc_to_wc,A12,wc,2.133045985,2.466850829,0.094686725
6,nuc_to_wc,A12,wc,1.330905567,1.323144105,0.054802105
7,nuc_to_wc,A12,wc,1.798444786,2.018518519,0.195161709
8,nuc_to_wc,A12,wc,1.2527799,1.261904762,0.058767025
9,nuc_to_wc,A12,wc,1.736313897,1.916666667,0.126381615
10,nuc_to_wc,A12,wc,1.551792209,1.6,0.111973544
1,nuc_to_cyto,A12,cytoplasm,2.074235019,2.042813456,0.231059732
2,nuc_to_cyto,A12,cytoplasm,2.344295511,2.217241379,0.22291254
3,nuc_to_cyto,A12,cytoplasm,2.262085699,2.273584906,0.171503877
4,nuc_to_cyto,A12,cytoplasm,1.726460066,1.757475083,0.100654036
5,nuc_to_cyto,A12,cytoplasm,2.356138724,2.515492958,0.10459001
6,nuc_to_cyto,A12,cytoplasm,1.408072237,1.352678571,0.057979492
7,nuc_to_cyto,A12,cytoplasm,2.234546374,2.173789174,0.242485616
8,nuc_to_cyto,A12,cytoplasm,1.331000481,1.279310345,0.062436216
9,nuc_to_cyto,A12,cytoplasm,1.987498211,2.009036145,0.144664597
10,nuc_to_cyto,A12,cytoplasm,1.747462884,1.671957672,0.126092547
1,nuc_to_wc,C3,wc,1.403828561,1.520833333,0.048005764
2,nuc_to_wc,C3,wc,1.266843221,1.303529412,0.1315935
3,nuc_to_wc,C3,wc,1.234619284,1.258928571,0.041875447
4,nuc_to_wc,C3,wc,2.372786827,2.808558559,0.081449909
5,nuc_to_wc,C3,wc,2.558947186,3.18694362,0.147083573
6,nuc_to_wc,C3,wc,2.227739133,2.835403727,0.157462835
7,nuc_to_wc,C3,wc,2.814984253,3.503355705,0.137761582
8,nuc_to_wc,C3,wc,2.197614548,2.929577465,0.244669576
9,nuc_to_wc,C3,wc,2.679669553,3.772988506,0.14861068
10,nuc_to_wc,C3,wc,2.892417342,4.308139535,0.230482353
1,nuc_to_cyto,C3,cytoplasm,1.474621,1.553191489,0.050426517
2,nuc_to_cyto,C3,cytoplasm,1.458811693,1.402531646,0.151534449
3,nuc_to_cyto,C3,cytoplasm,1.288577191,1.274096386,0.043705641
4,nuc_to_cyto,C3,cytoplasm,2.583186801,2.893271462,0.088672256
5,nuc_to_cyto,C3,cytoplasm,3.000229138,3.304615385,0.172447814
6,nuc_to_cyto,C3,cytoplasm,2.644089823,2.993442623,0.186891263
7,nuc_to_cyto,C3,cytoplasm,3.264740655,3.6,0.15977203
8,nuc_to_cyto,C3,cytoplasm,2.909474472,3.104477612,0.323923899
9,nuc_to_cyto,C3,cytoplasm,3.147410469,3.919402985,0.174550747
10,nuc_to_cyto,C3,cytoplasm,3.758741196,4.588235294,0.299515358
1,nuc_to_wc,E9,wc,2.538024778,3.125854993,0.278700725
2,nuc_to_wc,E9,wc,1.748482557,1.972875226,0.150864718
3,nuc_to_wc,E9,wc,1.555369982,1.627659574,0.154273811
4,nuc_to_wc,E9,wc,2.702894445,3.48806366,0.150532368
5,nuc_to_wc,E9,wc,1.416572168,1.44709389,0.161381635
6,nuc_to_wc,E9,wc,2.260070891,2.680100756,0.155967482
7,nuc_to_wc,E9,wc,2.209281833,2.485887097,0.152050578
8,nuc_to_wc,E9,wc,2.50899667,3.122743682,0.205907629
9,nuc_to_wc,E9,wc,1.686535828,1.705128205,0.108493315
10,nuc_to_wc,E9,wc,2.356489882,3.078431373,0.176736848
1,nuc_to_cyto,E9,cytoplasm,3.518682915,3.520801233,0.386387131
2,nuc_to_cyto,E9,cytoplasm,2.059133044,2.156126482,0.177668629
3,nuc_to_cyto,E9,cytoplasm,1.839090425,1.787383178,0.18241582
4,nuc_to_cyto,E9,cytoplasm,3.181865793,3.795093795,0.177207909
5,nuc_to_cyto,E9,cytoplasm,1.689173353,1.634680135,0.192437516
6,nuc_to_cyto,E9,cytoplasm,2.677706438,2.907103825,0.184788475
7,nuc_to_cyto,E9,cytoplasm,2.605438889,2.795918367,0.179315622
8,nuc_to_cyto,E9,cytoplasm,3.159578848,3.581780538,0.259299342
9,nuc_to_cyto,E9,cytoplasm,1.891779836,1.807065217,0.12169658
10,nuc_to_cyto,E9,cytoplasm,2.862378033,3.333333333,0.214678439
1,nuc_to_wc,G9,wc,2.573782177,3.387917329,0.197983311
2,nuc_to_wc,G9,wc,1.804601347,2.109947644,0.175759332
3,nuc_to_wc,G9,wc,2.271613218,2.828897338,0.134400756
4,nuc_to_wc,G9,wc,2.728373335,3.595238095,0.18749649
5,nuc_to_wc,G9,wc,3.179226323,4.350446429,0.261600013
6,nuc_to_wc,G9,wc,2.328555538,2.938235294,0.17692451
7,nuc_to_wc,G9,wc,2.093932577,2.583333333,0.27185637
8,nuc_to_wc,G9,wc,2.109169082,2.698947368,0.223182402
9,nuc_to_wc,G9,wc,2.24125971,2.841046278,0.194083847
10,nuc_to_wc,G9,wc,1.615177924,1.935185185,0.320596239
1,nuc_to_cyto,G9,cytoplasm,3.209140699,3.83963964,0.246856814
2,nuc_to_cyto,G9,cytoplasm,2.189407553,2.226519337,0.21323788
3,nuc_to_cyto,G9,cytoplasm,2.624326097,3.024390244,0.155269032
4,nuc_to_cyto,G9,cytoplasm,3.357981141,3.833984375,0.230763913
5,nuc_to_cyto,G9,cytoplasm,4.305562412,4.596698113,0.354279547
6,nuc_to_cyto,G9,cytoplasm,2.829089022,3.055045872,0.214955387
7,nuc_to_cyto,G9,cytoplasm,2.875711847,2.812371134,0.373355419
8,nuc_to_cyto,G9,cytoplasm,2.715142076,2.900452489,0.287303483
9,nuc_to_cyto,G9,cytoplasm,2.781008526,3.089715536,0.240823832
10,nuc_to_cyto,G9,cytoplasm,2.377348592,2.235294118,0.471878811
