Pair_No,Formula,Group,Locus,Mean,Median,IntDen
1,nuc_to_wc,Cg,wc,1.490837179,1.523890785,0.14034245
2,nuc_to_wc,Cg,wc,1.33961213,1.373417722,0.149583107
3,nuc_to_wc,Cg,wc,1.945100985,2.219924812,0.179991971
4,nuc_to_wc,Cg,wc,1.86645612,2.104384134,0.208891241
5,nuc_to_wc,Cg,wc,1.883302728,2.193181818,0.155151616
6,nuc_to_wc,Cg,wc,1.596105964,1.710462287,0.091161779
7,nuc_to_wc,Cg,wc,1.615484975,1.865470852,0.181791965
8,nuc_to_wc,Cg,wc,2.114180267,2.6,0.233737777
9,nuc_to_wc,Cg,wc,1.458761047,1.528216704,0.096731967
10,nuc_to_wc,Cg,wc,1.115462401,1.121287129,0.086323506
1,nuc_to_cyto,Cg,cytoplasm,1.734221152,1.662942272,0.163253902
2,nuc_to_cyto,Cg,cytoplasm,1.575241678,1.453125,0.175893895
3,nuc_to_cyto,Cg,cytoplasm,2.372053261,2.385858586,0.219500255
4,nuc_to_cyto,Cg,cytoplasm,2.359293567,2.220264317,0.264048702
5,nuc_to_cyto,Cg,cytoplasm,2.229161365,2.297619048,0.18364433
6,nuc_to_cyto,Cg,cytoplasm,1.756204241,1.766331658,0.100305838
7,nuc_to_cyto,Cg,cytoplasm,1.974419527,1.971563981,0.222183061
8,nuc_to_cyto,Cg,cytoplasm,2.759080828,2.785714286,0.305036279
9,nuc_to_cyto,Cg,cytoplasm,1.614983837,1.589201878,0.107091099
10,nuc_to_cyto,Cg,cytoplasm,1.220851577,1.155612245,0.0944793
1,nuc_to_wc,Sc,wc,1.190420205,1.174624829,0.131091791
2,nuc_to_wc,Sc,wc,1.404125235,1.507487521,0.267348864
3,nuc_to_wc,Sc,wc,1.886349331,2.485021398,0.306285967
4,nuc_to_wc,Sc,wc,2.046064521,2.773638968,0.350883988
5,nuc_to_wc,Sc,wc,1.598843592,1.73605948,0.163748006
6,nuc_to_wc,Sc,wc,3.096704829,4.761776581,0.308641606
7,nuc_to_wc,Sc,wc,2.222883756,2.915662651,0.265641651
8,nuc_to_wc,Sc,wc,2.198219077,2.76462766,0.321497911
9,nuc_to_wc,Sc,wc,1.406094346,1.493870403,0.102340172
10,nuc_to_wc,Sc,wc,1.555604377,1.780448718,0.243713976
1,nuc_to_cyto,Sc,cytoplasm,1.37001694,1.260614934,0.15086955
2,nuc_to_cyto,Sc,cytoplasm,1.916496441,1.680890538,0.364906093
3,nuc_to_cyto,Sc,cytoplasm,2.71920421,2.832520325,0.441516175
4,nuc_to_cyto,Sc,cytoplasm,3.152079008,3.127625202,0.540556572
5,nuc_to_cyto,Sc,cytoplasm,1.911915411,1.845849802,0.195811834
6,nuc_to_cyto,Sc,cytoplasm,4.479160865,5.195301028,0.446427743
7,nuc_to_cyto,Sc,cytoplasm,3.026977224,3.0856102,0.361733042
8,nuc_to_cyto,Sc,cytoplasm,3.239810721,3.263736264,0.473834814
9,nuc_to_cyto,Sc,cytoplasm,1.566399769,1.534172662,0.114007766
10,nuc_to_cyto,Sc,cytoplasm,2.056897835,1.955985915,0.322251103
1,nuc_to_wc,B10,wc,2.57743133,3.988137604,0.349620052
2,nuc_to_wc,B10,wc,1.336187983,1.35862069,0.117647949
3,nuc_to_wc,B10,wc,2.579785664,3.209656925,0.169818739
4,nuc_to_wc,B10,wc,2.190352296,2.887459807,0.198144729
5,nuc_to_wc,B10,wc,2.890977907,4.225503356,0.262962039
6,nuc_to_wc,B10,wc,2.326766917,2.823863636,0.117840209
7,nuc_to_wc,B10,wc,1.707544907,1.936170213,0.154573271
8,nuc_to_wc,B10,wc,1.755937398,2.106761566,0.248040678
9,nuc_to_wc,B10,wc,1.946347852,2.345399698,0.294501576
10,nuc_to_wc,B10,wc,2.073222037,2.664516129,0.222169179
1,nuc_to_cyto,B10,cytoplasm,3.962963669,4.618131868,0.53756278
2,nuc_to_cyto,B10,cytoplasm,1.514349041,1.479349186,0.133334477
3,nuc_to_cyto,B10,cytoplasm,3.10749585,3.465020576,0.204556218
