Pair_No,Formula,Group,Locus,Mean,Median,IntDen
1,nuc_to_wc,Cg,wc,2.273794015,2.404391583,0.14034245
2,nuc_to_wc,Cg,wc,2.38250331,2.660412758,0.149583107
3,nuc_to_wc,Cg,wc,3.394950423,4.942891859,0.179991971
4,nuc_to_wc,Cg,wc,3.783367992,5.740143369,0.208891241
5,nuc_to_wc,Cg,wc,4.229405843,8.231404959,0.155151616
6,nuc_to_wc,Cg,wc,4.703214156,7.697247706,0.091161779
7,nuc_to_wc,Cg,wc,3.27269205,5.910941476,0.181791965
8,nuc_to_wc,Cg,wc,4.631371168,9.716707022,0.233737777
9,nuc_to_wc,Cg,wc,3.309518124,4.095238095,0.096731967
10,nuc_to_wc,Cg,wc,2.230847107,2.338797814,0.086323506
1,nuc_to_cyto,Cg,cytoplasm,3.576316352,3.099056604,0.163253902
2,nuc_to_cyto,Cg,cytoplasm,6.092228187,3.518610422,0.175893895
3,nuc_to_cyto,Cg,cytoplasm,6.242023427,6.376175549,0.219500255
4,nuc_to_cyto,Cg,cytoplasm,11.50085454,7.397228637,0.264048702
5,nuc_to_cyto,Cg,cytoplasm,9.773195979,11.36121673,0.18364433
6,nuc_to_cyto,Cg,cytoplasm,10.84506141,10.96732026,0.100305838
7,nuc_to_cyto,Cg,cytoplasm,9.955643422,8.509157509,0.222183061
8,nuc_to_cyto,Cg,cytoplasm,19.44356774,15.25855513,0.305036279
9,nuc_to_cyto,Cg,cytoplasm,6.451049802,5.283276451,0.107091099
10,nuc_to_cyto,Cg,cytoplasm,27.96619978,3.479674797,0.0944793
1,nuc_to_wc,Sc,wc,1.369683192,1.350109409,0.131091791
2,nuc_to_wc,Sc,wc,1.962732033,2.305650685,0.267348864
3,nuc_to_wc,Sc,wc,2.488630611,4.120503597,0.306285967
4,nuc_to_wc,Sc,wc,2.730473668,4.744706594,0.350883988
5,nuc_to_wc,Sc,wc,2.588699442,3.321219226,0.163748006
6,nuc_to_wc,Sc,wc,4.100676238,8.44142705,0.308641606
7,nuc_to_wc,Sc,wc,3.430767861,6.210674157,0.265641651
8,nuc_to_wc,Sc,wc,2.94458331,4.450338014,0.321497911
9,nuc_to_wc,Sc,wc,2.045344163,2.385068762,0.102340172
10,nuc_to_wc,Sc,wc,2.166612027,2.897895557,0.243713976
1,nuc_to_cyto,Sc,cytoplasm,1.837269868,1.56400507,0.15086955
2,nuc_to_cyto,Sc,cytoplasm,5.405374902,3.138694639,0.364906093
3,nuc_to_cyto,Sc,cytoplasm,5.124964287,5.551696284,0.441516175
4,nuc_to_cyto,Sc,cytoplasm,6.508213283,6.234499205,0.540556572
5,nuc_to_cyto,Sc,cytoplasm,4.57702037,4.088023088,0.195811834
6,nuc_to_cyto,Sc,cytoplasm,7.543965211,10.11033163,0.446427743
7,nuc_to_cyto,Sc,cytoplasm,7.268983559,7.305066079,0.361733042
8,nuc_to_cyto,Sc,cytoplasm,6.157084337,6.348664688,0.473834814
9,nuc_to_cyto,Sc,cytoplasm,2.776878782,2.5747614,0.114007766
10,nuc_to_cyto,Sc,cytoplasm,4.437315402,3.706879362,0.322251103
1,nuc_to_wc,B10,wc,3.207938304,6.29646762,0.349620052
2,nuc_to_wc,B10,wc,1.581612452,1.620771986,0.117647949
3,nuc_to_wc,B10,wc,3.548841569,5.14442326,0.169818739
4,nuc_to_wc,B10,wc,3.172249901,5.611154753,0.198144729
5,nuc_to_wc,B10,wc,3.860502242,7.363877119,0.262962039
6,nuc_to_wc,B10,wc,4.153609945,6.99626401,0.117840209
7,nuc_to_wc,B10,wc,2.917752492,4.235294118,0.154573271
8,nuc_to_wc,B10,wc,2.666289566,4.196300103,0.248040678
9,nuc_to_wc,B10,wc,2.723214739,4.01759134,0.294501576
10,nuc_to_wc,B10,wc,3.040940932,5.085510689,0.222169179
1,nuc_to_cyto,B10,cytoplasm,6.282255065,8.304492512,0.53756278
2,nuc_to_cyto,B10,cytoplasm,1.985789348,1.887395737,0.133334477
3,nuc_to_cyto,B10,cytoplasm,4.888122453,5.969579646,0.204556218
4,nuc_to_cyto,B10,cytoplasm,4.968979472,6.595567867,0.247107847
5,nuc_to_cyto,B10,cytoplasm,6.41051433,8.53992629,0.35678222
