Pair_No,Formula,Group,Locus,Mean,Median,IntDen
1,Nuc_to_wc,Cg,wc,1.799179171,2.070135747,0.254508475
2,Nuc_to_wc,Cg,wc,2.12063723,2.425,0.122185848
3,Nuc_to_wc,Cg,wc,1.91991098,2.180751174,0.210261812
4,Nuc_to_wc,Cg,wc,2.402916433,3.286610879,0.271148775
5,Nuc_to_wc,Cg,wc,1.7045431,1.89821883,0.151909529
6,Nuc_to_wc,Cg,wc,2.133758385,2.5125,0.089971074
7,Nuc_to_wc,Cg,wc,1.745159018,1.925274725,0.111195198
8,Nuc_to_wc,Cg,wc,1.917162178,2.216157205,0.198782922
9,Nuc_to_wc,Cg,wc,1.570750365,1.695121951,0.100301656
10,Nuc_to_wc,Cg,wc,1.062092703,1.0626703,0.110751393
1,Nuc_to_cyto,Cg,cytoplasm,2.413410009,2.210144928,0.341396872
2,Nuc_to_cyto,Cg,cytoplasm,2.415814241,2.492990654,0.139193273
3,Nuc_to_cyto,Cg,cytoplasm,2.43107319,2.29950495,0.266242428
4,Nuc_to_cyto,Cg,cytoplasm,3.296851786,3.554298643,0.372022116
5,Nuc_to_cyto,Cg,cytoplasm,2.009858523,1.968337731,0.179119442
6,Nuc_to_cyto,Cg,cytoplasm,2.344714064,2.56377551,0.098866169
7,Nuc_to_cyto,Cg,cytoplasm,1.96349123,1.972972973,0.125106433
8,Nuc_to_cyto,Cg,cytoplasm,2.392812124,2.439903846,0.248101204
9,Nuc_to_cyto,Cg,cytoplasm,1.745862797,1.774468085,0.111483651
10,Nuc_to_cyto,Cg,cytoplasm,1.194372088,1.098591549,0.12454489
1,Nuc_to_wc,Sc,wc,1.746056769,1.946540881,0.108231736
2,Nuc_to_wc,Sc,wc,1.15064751,1.148514851,0.090938196
3,Nuc_to_wc,Sc,wc,1.275063366,1.303030303,0.078220127
4,Nuc_to_wc,Sc,wc,1.271875414,1.289655172,0.078517988
5,Nuc_to_wc,Sc,wc,1.276216594,1.343173432,0.159641015
6,Nuc_to_wc,Sc,wc,1.596775481,1.76744186,0.165065519
7,Nuc_to_wc,Sc,wc,1.633039401,1.787234043,0.164842664
8,Nuc_to_wc,Sc,wc,1.205202004,1.25093633,0.14662097
9,Nuc_to_wc,Sc,wc,1.162767361,1.173611111,0.140834939
10,Nuc_to_wc,Sc,wc,1.169056981,1.174074074,0.084848811
1,Nuc_to_cyto,Sc,cytoplasm,1.957973787,1.990353698,0.121367557
2,Nuc_to_cyto,Sc,cytoplasm,1.26575272,1.175675676,0.100035218
3,Nuc_to_cyto,Sc,cytoplasm,1.38326124,1.329896907,0.084857707
4,Nuc_to_cyto,Sc,cytoplasm,1.380250243,1.316901408,0.085208379
5,Nuc_to_cyto,Sc,cytoplasm,1.518653298,1.394636015,0.189967642
6,Nuc_to_cyto,Sc,cytoplasm,1.912453525,1.842424242,0.19769874
7,Nuc_to_cyto,Sc,cytoplasm,1.955369079,1.85488959,0.197379207
8,Nuc_to_cyto,Sc,cytoplasm,1.412268293,1.3046875,0.171812249
9,Nuc_to_cyto,Sc,cytoplasm,1.353369865,1.215827338,0.163920743
10,Nuc_to_cyto,Sc,cytoplasm,1.277446401,1.200757576,0.092715621
1,Nuc_to_wc,B11,wc,2.212622953,2.954716981,0.17542214
2,Nuc_to_wc,B11,wc,1.997218063,2.449275362,0.204135538
3,Nuc_to_wc,B11,wc,1.697968783,2.126605505,0.280493199
4,Nuc_to_wc,B11,wc,1.672172102,1.833046472,0.164676384
5,Nuc_to_wc,B11,wc,2.475234833,3.26719057,0.154917433
6,Nuc_to_wc,B11,wc,1.571205191,1.808681672,0.263553285
7,Nuc_to_wc,B11,wc,2.130950483,3.133458647,0.313305904
8,Nuc_to_wc,B11,wc,1.853568872,2.274509804,0.096642285
9,Nuc_to_wc,B11,wc,2.85786861,4.054176072,0.198028682
10,Nuc_to_wc,B11,wc,1.533307136,1.711026616,0.18691733
1,Nuc_to_cyto,B11,cytoplasm,2.683340625,3.082677165,0.212741728
2,Nuc_to_cyto,B11,cytoplasm,2.509495714,2.640625,0.256495304
3,Nuc_to_cyto,B11,cytoplasm,2.359904887,2.379876797,0.389840822
4,Nuc_to_cyto,B11,cytoplasm,2.00182425,1.96857671,0.197140821
5,Nuc_to_cyto,B11,cytoplasm,2.928987893,3.428865979,0.183316328
6,Nuc_to_cyto,B11,cytoplasm,2.133494479,1.949740035,0.357871492
7,Nuc_to_cyto,B11,cytoplasm,3.103203212,3.554371002,0.456252508
8,Nuc_to_cyto,B11,cytoplasm,2.05186396,2.347386172,0.106981176
9,Nuc_to_cyto,B11,cytoplasm,3.563556426,4.296650718,0.24692743
10,Nuc_to_cyto,B11,cytoplasm,1.885792614,1.814516129,0.229887238
1,Nuc_to_wc,D2,wc,2.09803358,2.894658754,0.272929071
2,Nuc_to_wc,D2,wc,1.894516941,2.241610738,0.180725412
3,Nuc_to_wc,D2,wc,1.66841877,1.877647059,0.183997698
4,Nuc_to_wc,D2,wc,1.654489271,1.940451745,0.2041734
5,Nuc_to_wc,D2,wc,1.548594228,1.818380744,0.291677565
6,Nuc_to_wc,D2,wc,1.309412913,1.460176991,0.194735714
7,Nuc_to_wc,D2,wc,1.212614395,1.207343413,0.088233058
8,Nuc_to_wc,D2,wc,1.903367859,2.529545455,0.229084493
9,Nuc_to_wc,D2,wc,1.707479533,2.063926941,0.205643652
10,Nuc_to_wc,D2,wc,1.577006773,1.720316623,0.165005024
1,Nuc_to_cyto,D2,cytoplasm,2.885598726,3.381282496,0.37538163
2,Nuc_to_cyto,D2,cytoplasm,2.312432998,2.346604215,0.22059199
3,Nuc_to_cyto,D2,cytoplasm,2.044626818,1.975247525,0.225486739
4,Nuc_to_cyto,D2,cytoplasm,2.078958336,2.081497797,0.256555133
5,Nuc_to_cyto,D2,cytoplasm,2.18628044,1.992805755,0.411786428
6,Nuc_to_cyto,D2,cytoplasm,1.626067728,1.586538462,0.241828325
7,Nuc_to_cyto,D2,cytoplasm,1.32996053,1.264705882,0.096771503
8,Nuc_to_cyto,D2,cytoplasm,2.468972364,2.708029197,0.297159016
9,Nuc_to_cyto,D2,cytoplasm,2.149512836,2.194174757,0.258880856
10,Nuc_to_cyto,D2,cytoplasm,1.888641763,1.796143251,0.197612031
1,Nuc_to_wc,F8,wc,1.489717758,1.57960644,0.186411677
2,Nuc_to_wc,F8,wc,3.173901283,4.892821031,0.295850108
3,Nuc_to_wc,F8,wc,1.323610767,1.326953748,0.143455528
4,Nuc_to_wc,F8,wc,2.556731451,3.71291866,0.222178827
5,Nuc_to_wc,F8,wc,1.423781772,1.424071991,0.13113117
6,Nuc_to_wc,F8,wc,2.143496038,2.552774755,0.142016722
7,Nuc_to_wc,F8,wc,1.837036847,2.119601329,0.169785951
8,Nuc_to_wc,F8,wc,1.977945922,2.335347432,0.201709081
9,Nuc_to_wc,F8,wc,1.858802649,2.249032258,0.274335554
10,Nuc_to_wc,F8,wc,1.479254967,1.601851852,0.231965279
1,Nuc_to_cyto,F8,cytoplasm,1.831048587,1.698076923,0.229122852
2,Nuc_to_cyto,F8,cytoplasm,4.507424615,5.41881299,0.420152212
3,Nuc_to_cyto,F8,cytoplasm,1.545291112,1.417376491,0.167481682
4,Nuc_to_cyto,F8,cytoplasm,3.28704323,3.984595635,0.285642555
5,Nuc_to_cyto,F8,cytoplasm,1.638661269,1.519807923,0.150921711
6,Nuc_to_cyto,F8,cytoplasm,2.498295945,2.659863946,0.16552388
7,Nuc_to_cyto,F8,cytoplasm,2.212727238,2.242530756,0.204508646
8,Nuc_to_cyto,F8,cytoplasm,2.477724552,2.446202532,0.252676156
9,Nuc_to_cyto,F8,cytoplasm,2.561518709,2.430962343,0.378047396
10,Nuc_to_cyto,F8,cytoplasm,1.926026236,1.744537815,0.302024469
1,Nuc_to_wc,H8,wc,1.543974027,1.818466354,0.24412658
2,Nuc_to_wc,H8,wc,2.188033622,3.145833333,0.285271617
3,Nuc_to_wc,H8,wc,2.415136595,3.433544304,0.232594616
