Pair_No,Formula,Group,Locus,Mean,Median,IntDen
1,Nuc_to_wc,Cg,wc,4.061658869,8.779605263,0.254508475
2,Nuc_to_wc,Cg,wc,5.531563853,11.66326531,0.122185848
3,Nuc_to_wc,Cg,wc,5.20155231,12.22767857,0.210261812
4,Nuc_to_wc,Cg,wc,4.517579383,12.29132231,0.271148775
5,Nuc_to_wc,Cg,wc,5.869648067,30.91525424,0.151909529
6,Nuc_to_wc,Cg,wc,7.107534907,33.18085106,0.089971074
7,Nuc_to_wc,Cg,wc,4.251908208,6.704607046,0.111195198
8,Nuc_to_wc,Cg,wc,4.136708583,8.252604167,0.198782922
9,Nuc_to_wc,Cg,wc,3.023591666,4.086642599,0.100301656
10,Nuc_to_wc,Cg,wc,-0.916795354,-0.61971831,0.110751393
1,Nuc_to_cyto,Cg,cytoplasm,162.5909634,16.27439024,0.341396872
2,Nuc_to_cyto,Cg,cytoplasm,10.93379047,14.65384615,0.139193273
3,Nuc_to_cyto,Cg,cytoplasm,131.1511204,24.02631579,0.266242428
4,Nuc_to_cyto,Cg,cytoplasm,14.11121388,19.56907895,0.372022116
5,Nuc_to_cyto,Cg,cytoplasm,-117.4840459,-165.8181818,0.179119442
6,Nuc_to_cyto,Cg,cytoplasm,13.79222002,57.75925926,0.098866169
7,Nuc_to_cyto,Cg,cytoplasm,8.260368513,7.878980892,0.125106433
8,Nuc_to_cyto,Cg,cytoplasm,12.92076484,18.21264368,0.248101204
9,Nuc_to_cyto,Cg,cytoplasm,4.692233753,5.099099099,0.111483651
10,Nuc_to_cyto,Cg,cytoplasm,-0.207470913,-0.335877863,0.12454489
1,Nuc_to_wc,Sc,wc,-7.075459595,-3.762658228,0.108231736
2,Nuc_to_wc,Sc,wc,0.400560143,0.42455243,0.090938196
3,Nuc_to_wc,Sc,wc,-0.072312189,-0.06888361,0.078220127
4,Nuc_to_wc,Sc,wc,0.060030613,0.078947368,0.078517988
5,Nuc_to_wc,Sc,wc,0.204420048,0.156079855,0.159641015
6,Nuc_to_wc,Sc,wc,-57.97350297,-6.096774194,0.165065519
7,Nuc_to_wc,Sc,wc,-10.04580435,-3.961685824,0.164842664
8,Nuc_to_wc,Sc,wc,0.483917907,0.413309982,0.14662097
9,Nuc_to_wc,Sc,wc,0.466286247,0.463519313,0.140834939
10,Nuc_to_wc,Sc,wc,0.573952122,0.577338129,0.084848811
1,Nuc_to_cyto,Sc,cytoplasm,-3.258279418,-3.387464387,0.121367557
2,Nuc_to_cyto,Sc,cytoplasm,0.294129201,0.389671362,0.100035218
3,Nuc_to_cyto,Sc,cytoplasm,-0.055414527,-0.064301552,0.084857707
4,Nuc_to_cyto,Sc,cytoplasm,0.047213724,0.074074074,0.085208379
5,Nuc_to_cyto,Sc,cytoplasm,0.140032423,0.143094842,0.189967642
6,Nuc_to_cyto,Sc,cytoplasm,-3.348803168,-4.4296875,0.19769874
7,Nuc_to_cyto,Sc,cytoplasm,-2.591578599,-3.221183801,0.197379207
8,Nuc_to_cyto,Sc,cytoplasm,0.353547909,0.376996805,0.171812249
9,Nuc_to_cyto,Sc,cytoplasm,0.318981054,0.418604651,0.163920743
10,Nuc_to_cyto,Sc,cytoplasm,0.472843743,0.54778157,0.092715621
1,Nuc_to_wc,B11,wc,3.73671048,7.962365591,0.17542214
2,Nuc_to_wc,B11,wc,3.270134976,5.683840749,0.204135538
3,Nuc_to_wc,B11,wc,2.628467551,4.748473748,0.280493199
4,Nuc_to_wc,B11,wc,2.64373222,3.422422422,0.164676384
5,Nuc_to_wc,B11,wc,4.349197227,10.02973396,0.154917433
6,Nuc_to_wc,B11,wc,2.243869778,3.088870432,0.263553285
7,Nuc_to_wc,B11,wc,3.282659474,8.526525199,0.313305904
8,Nuc_to_wc,B11,wc,2.81999381,4.379549393,0.096642285
9,Nuc_to_wc,B11,wc,5.906019309,22.89320388,0.198028682
10,Nuc_to_wc,B11,wc,2.530815903,3.582872928,0.18691733
1,Nuc_to_cyto,B11,cytoplasm,6.185603815,9.34384858,0.212741728
2,Nuc_to_cyto,B11,cytoplasm,6.10907175,7.422018349,0.256495304
3,Nuc_to_cyto,B11,cytoplasm,7.606228881,7.351606805,0.389840822
4,Nuc_to_cyto,B11,cytoplasm,4.426130556,4.279098874,0.197140821
5,Nuc_to_cyto,B11,cytoplasm,6.708695262,12.34874759,0.183316328
6,Nuc_to_cyto,B11,cytoplasm,5.266306049,3.798774259,0.357871492
7,Nuc_to_cyto,B11,cytoplasm,8.929079546,14.64464692,0.456252508
8,Nuc_to_cyto,B11,cytoplasm,3.551900099,4.772426818,0.106981176
9,Nuc_to_cyto,B11,cytoplasm,12.37976504,38.44565217,0.24692743
10,Nuc_to_cyto,B11,cytoplasm,5.460565302,4.519163763,0.229887238
1,Nuc_to_wc,D2,wc,2.942899439,5.361338798,0.272929071
2,Nuc_to_wc,D2,wc,4.310558503,9.434650456,0.180725412
3,Nuc_to_wc,D2,wc,4.396851298,9.515981735,0.183997698
4,Nuc_to_wc,D2,wc,3.09925022,5.328922495,0.2041734
5,Nuc_to_wc,D2,wc,3.00464379,5.934036939,0.291677565
6,Nuc_to_wc,D2,wc,2.287824408,3.937853107,0.194735714
7,Nuc_to_wc,D2,wc,2.230601633,2.173594132,0.088233058
8,Nuc_to_wc,D2,wc,3.886394957,12.44557823,0.229084493
9,Nuc_to_wc,D2,wc,3.609886219,9.204225352,0.205643652
10,Nuc_to_wc,D2,wc,5.091668832,-123.0909091,0.165005024
1,Nuc_to_cyto,D2,cytoplasm,5.69150442,8.017364658,0.37538163
2,Nuc_to_cyto,D2,cytoplasm,13.01717042,13.55458515,0.22059199
3,Nuc_to_cyto,D2,cytoplasm,67.71185936,18.28070175,0.225486739
4,Nuc_to_cyto,D2,cytoplasm,8.980218566,7.744505495,0.256555133
5,Nuc_to_cyto,D2,cytoplasm,-45.64383853,12.56424581,0.411786428
6,Nuc_to_cyto,D2,cytoplasm,12.07445789,8.011494253,0.241828325
7,Nuc_to_cyto,D2,cytoplasm,4.558640273,2.924342105,0.096771503
8,Nuc_to_cyto,D2,cytoplasm,14.49934653,24.55704698,0.297159016
9,Nuc_to_cyto,D2,cytoplasm,14.95502203,16.97402597,0.258880856
10,Nuc_to_cyto,D2,cytoplasm,-29.93660404,-14.87912088,0.197612031
1,Nuc_to_wc,F8,wc,2.368264455,2.822272216,0.186411677
2,Nuc_to_wc,F8,wc,3.917526187,7.3343205,0.295850108
3,Nuc_to_wc,F8,wc,1.80602498,1.834011391,0.143455528
4,Nuc_to_wc,F8,wc,3.3266973,5.986807388,0.222178827
5,Nuc_to_wc,F8,wc,1.740520299,1.742418275,0.13113117
6,Nuc_to_wc,F8,wc,2.76878687,3.653402752,0.142016722
7,Nuc_to_wc,F8,wc,2.828639866,4.052536232,0.169785951
8,Nuc_to_wc,F8,wc,2.896598555,4.148148148,0.201709081
9,Nuc_to_wc,F8,wc,2.468066019,3.458100559,0.274335554
10,Nuc_to_wc,F8,wc,2.041667697,2.461769115,0.231965279
1,Nuc_to_cyto,F8,cytoplasm,4.942478147,3.615273775,0.229122852
2,Nuc_to_cyto,F8,cytoplasm,6.497284048,8.710042986,0.420152212
3,Nuc_to_cyto,F8,cytoplasm,2.810092918,2.19047619,0.167481682
4,Nuc_to_cyto,F8,cytoplasm,4.980604467,6.844645551,0.285642555
5,Nuc_to_cyto,F8,cytoplasm,2.257893511,1.958388668,0.150921711
6,Nuc_to_cyto,F8,cytoplasm,3.548247906,3.923322684,0.16552388
7,Nuc_to_cyto,F8,cytoplasm,4.49650478,4.764643237,0.204508646
8,Nuc_to_cyto,F8,cytoplasm,4.757786159,4.644338118,0.252676156
9,Nuc_to_cyto,F8,cytoplasm,4.647596753,4.055390113,0.378047396
10,Nuc_to_cyto,F8,cytoplasm,4.117759836,3.072029935,0.302024469
1,Nuc_to_wc,H8,wc,2.142168583,3.028704422,0.24412658
2,Nuc_to_wc,H8,wc,3.260115568,7.344969199,0.285271617
3,Nuc_to_wc,H8,wc,3.453006234,7.132376396,0.232594616
4,Nuc_to_wc,H8,wc,2.995497559,4.853427896,0.190473909
5,Nuc_to_wc,H8,wc,3.236271563,5.576693227,0.122969469
6,Nuc_to_wc,H8,wc,3.538686737,6.731035889,0.244368528
7,Nuc_to_wc,H8,wc,3.182617113,4.74923734,0.181966152
8,Nuc_to_wc,H8,wc,2.619481778,4.118637431,0.248162736
9,Nuc_to_wc,H8,wc,4.346320472,8.480739599,0.175898414
10,Nuc_to_wc,H8,wc,2.264004489,3.749241439,0.402392238
1,Nuc_to_cyto,H8,cytoplasm,4.394952731,3.488829312,0.322972833
2,Nuc_to_cyto,H8,cytoplasm,7.129057738,8.953692115,0.399132906
3,Nuc_to_cyto,H8,cytoplasm,5.785677626,8.250922509,0.303092239
4,Nuc_to_cyto,H8,cytoplasm,4.74690589,5.629798903,0.235290637
5,Nuc_to_cyto,H8,cytoplasm,4.380092335,6.159515952,0.14021116
6,Nuc_to_cyto,H8,cytoplasm,5.021641493,8.192851824,0.323396421
7,Nuc_to_cyto,H8,cytoplasm,4.742402417,5.316939891,0.222443304
8,Nuc_to_cyto,H8,cytoplasm,4.164369575,4.883472609,0.330075135
9,Nuc_to_cyto,H8,cytoplasm,8.189217638,10.3071161,0.213442635
10,Nuc_to_cyto,H8,cytoplasm,4.58876335,4.951058958,0.673338373
