Date	Host	Group	Pair_No	Area_nuclei	Area_wc	Sum_nuclei	Sum_wc	Nuc_frac	Median_nuc	Pho4	NLS
20240130	PHO2	Sc	1	2.29	29.27	2815281	36455226	0.07722571792587433	5227	SSSSS	S
20240130	PHO2	Sc	2	1.774	19.958	2372595	24787584	0.09571707351551487	5636	SSSSS	S
20240130	PHO2	Sc	3	1.077	12.075	1404010	15553870	0.09026756684992224	5501	SSSSS	S
20240130	PHO2	Sc	4	2.349	21.496	3351031	27046832	0.12389735699914874	6099	SSSSS	S
20240130	PHO2	Sc	5	1.605	24.576	2128621	28189887	0.0755100933891647	5619	SSSSS	S
20240130	PHO2	Cg	1	2.146	22.303	2367477	24145753	0.09804941680634272	4665	CCCCC	C
20240130	PHO2	Cg	2	2.822	25.147	3532609	27860757	0.12679515491987528	5301	CCCCC	C
20240130	PHO2	Cg	3	1.474	16.959	1551078	17485323	0.08870742622255248	4442	CCCCC	C
20240130	PHO2	Cg	4	2.163	24.555	2437868	26743452	0.09115756634558621	4776	CCCCC	C
20240130	PHO2	Cg	5	1.441	20.905	1741836	23952459	0.07272055032011536	5107	CCCCC	C
20240130	PHO2	A2	1	2.146	27.5	2481790	29689878	0.08359044115977843	4884	SSCSS	C
20240130	PHO2	A2	2	1.259	19.126	1404876	18733665	0.07499205307664036	4707	SSCSS	C
20240130	PHO2	A2	3	0.963	11.652	1315766	13977873	0.0941320614373875	5914	SSCSS	C
20240130	PHO2	A2	4	3.507	26.82	4241444	27659627	0.15334422261008798	5126	SSCSS	C
20240130	PHO2	A2	5	1.986	17.478	2270000	18315405	0.12393938326780107	4844	SSCSS	C
20240130	PHO2	C2	1	2.214	17.546	3446706	21435313	0.16079569260313578	6770	CCSCC	S
20240130	PHO2	C2	2	1.546	8.619	2354321	11016133	0.21371573854455098	6692	CCSCC	S
20240130	PHO2	C2	3	1.453	11.547	2386902	14863452	0.16058867078791655	7146	CCSCC	S
20240130	PHO2	C2	4	1.077	11.826	2026856	16631985	0.12186494877189945	8179	CCSCC	S
20240130	PHO2	C2	5	1.546	11.306	2564749	14737968	0.17402324390987958	7182	CCSCC	S
20240130	PHO2	E8	1	2.358	16.27	4839531	26349356	0.18366790444517886	8630	SSCCS	C
20240130	PHO2	E8	2	1.682	9.869	2617645	13514141	0.19369673588576589	6598	SSCCS	C
20240130	PHO2	E8	3	1.779	13.807	2799751	19657764	0.14242469285926923	6672	SSCCS	C
20240130	PHO2	E8	4	1.618	9.861	2404548	12865483	0.18689916266649298	6289	SSCCS	C
20240130	PHO2	E8	5	1.682	10.803	3241868	17056499	0.19006643743244145	8191	SSCCS	C
20240130	PHO2	G8	1	1.618	13.845	2278055	16738854	0.13609384489523596	5947	SSSCC	S
20240130	PHO2	G8	2	0.803	7.685	823118	7727808	0.10651377466934997	4338	SSSCC	S
20240130	PHO2	G8	3	1.758	18.657	2733714	22285133	0.12266985348483224	6366	SSSCC	S
20240130	PHO2	G8	4	1.838	16.591	2512434	19806417	0.12684949529235903	5700	SSSCC	S
20240130	PHO2	G8	5	1.66	16.274	1660243	15575180	0.10659542939471646	4185	SSSCC	S
20240206	PHO2	Cg	1	0.659	12.937	290090	1671116	0.17359058258074245	1891	CCCCC	C
20240206	PHO2	Cg	2	1.546	17.964	222361	1549207	0.14353214257358765	621	CCCCC	C
20240206	PHO2	Cg	3	1.403	11.931	200047	1143290	0.17497485327432236	595	CCCCC	C
20240206	PHO2	Cg	4	1.052	10.216	168077	954584	0.1760735566487601	656	CCCCC	C
20240206	PHO2	Cg	5	1.563	25.117	136271	1896930	0.07183765347166211	367	CCCCC	C
20240206	PHO2	Cg	6	0.773	13.207	175241	1337919	0.13098027608547302	959	CCCCC	C
20240206	PHO2	Cg	7	1.538	7.968	302463	893710	0.3384352866142261	853	CCCCC	C
20240206	PHO2	Cg	8	0.782	9.075	205712	1044333	0.1969793159844609	1136	CCCCC	C
20240206	PHO2	Cg	9	0.486	5.898	131743	677921	0.1943338530595748	1193	CCCCC	C
20240206	PHO2	Cg	10	1.251	13.71	173771	1034389	0.16799385917677007	594	CCCCC	C
20240206	PHO2	Sc	1	1.044	11.961	446196	1550799	0.28772007204028377	1875	SSSSS	S
20240206	PHO2	Sc	2	1.339	16.072	148645	1393113	0.10669988723097121	469	SSSSS	S
20240206	PHO2	Sc	3	1.373	13.452	143033	1089151	0.13132522487699133	440	SSSSS	S
20240206	PHO2	Sc	4	0.63	10.448	149733	1020178	0.14677144576730727	1025	SSSSS	S
20240206	PHO2	Sc	5	1.293	11.855	302861	1245784	0.24310875721633926	986	SSSSS	S
20240206	PHO2	Sc	6	1.643	15.455	326907	1448783	0.22564248752228594	863	SSSSS	S
20240206	PHO2	Sc	7	1.673	12.949	402266	1413377	0.28461337633200484	1021	SSSSS	S
20240206	PHO2	Sc	8	0.714	11.661	165719	1176379	0.1408721168943002	987	SSSSS	S
20240206	PHO2	Sc	9	1.276	11.327	316868	1178656	0.26883840577742785	1050	SSSSS	S
20240206	PHO2	Sc	10	1.006	17.419	88254	1249286	0.07064355159667202	372	SSSSS	S
20240206	PHO2	A12	1	1.842	16.536	285533	1521287	0.18769173732504124	668	SSCSS	C
20240206	PHO2	A12	2	1.267	13.33	196809	1079707	0.18228000744646464	643	SSCSS	C
20240206	PHO2	A12	3	1.069	14.099	180443	1232565	0.14639633609586514	723	SSCSS	C
20240206	PHO2	A12	4	0.693	11.885	86184	942424	0.09144928397409234	529	SSCSS	C
20240206	PHO2	A12	5	0.617	13.896	129838	1371237	0.09468676822460304	893	SSCSS	C
20240206	PHO2	A12	6	0.473	11.492	68132	1243238	0.05480205720867606	606	SSCSS	C
20240206	PHO2	A12	7	1.394	12.848	247818	1269808	0.19516178823885186	763	SSCSS	C
20240206	PHO2	A12	8	0.997	21.256	87477	1488540	0.05876697972509976	371	SSCSS	C
20240206	PHO2	A12	9	0.744	10.216	117292	928077	0.12638175496214216	667	SSCSS	C
20240206	PHO2	A12	10	0.837	11.593	126385	1128705	0.11197345630612072	632	SSCSS	C
20240206	PHO2	C3	1	0.452	13.22	55006	1145823	0.0480056692874903	511	CCSCC	S
20240206	PHO2	C3	2	0.815	7.85	107464	816636	0.13159351289925988	554	CCSCC	S
20240206	PHO2	C3	3	0.376	11.086	38044	908506	0.0418753425954259	423	CCSCC	S
20240206	PHO2	C3	4	0.384	11.2	112429	1380346	0.08144986836633714	1247	CCSCC	S
20240206	PHO2	C3	5	0.807	14.039	200069	1360240	0.147083602893607	1074	CCSCC	S
20240206	PHO2	C3	6	0.744	10.52	156131	991542	0.15746282053609428	913	CCSCC	S
20240206	PHO2	C3	7	1.052	21.496	253723	1841755	0.13776153722943604	1044	CCSCC	S
20240206	PHO2	C3	8	0.938	8.424	176050	719542	0.24466952589285962	832	CCSCC	S
20240206	PHO2	C3	9	0.537	9.675	158806	1068605	0.1486105717266904	1313	CCSCC	S
20240206	PHO2	C3	10	1.069	13.414	371167	1610392	0.23048239186483788	1482	CCSCC	S
20240206	PHO2	E9	1	1.466	13.351	795247	2853408	0.2787007676434635	2285	SSCCS	C
20240206	PHO2	E9	2	1.483	17.187	378153	2506571	0.15086466730844647	1091	SSCCS	C
20240206	PHO2	E9	3	1.445	14.568	261165	1692866	0.1542738763729675	765	SSCCS	C
20240206	PHO2	E9	4	0.76	13.655	451652	3000364	0.150532402068549	2630	SSCCS	C
20240206	PHO2	E9	5	1.027	9.012	232220	1438949	0.16138167509758858	971	SSCCS	C
20240206	PHO2	E9	6	0.904	13.101	222140	1424271	0.1559675089923196	1064	SSCCS	C
20240206	PHO2	E9	7	0.989	14.365	285125	1875198	0.15205061012223775	1233	SSCCS	C
20240206	PHO2	E9	8	1.187	14.466	467920	2272475	0.20590765574978823	1730	SSCCS	C
20240206	PHO2	E9	9	0.938	14.58	148194	1365928	0.10849327343754575	665	SSCCS	C
20240206	PHO2	E9	10	0.621	8.281	220878	1249756	0.17673689904269313	1570	SSCCS	C
20240206	PHO2	G9	1	0.913	11.864	450817	2277046	0.197983264281881	2131	SSSCC	S
20240206	PHO2	G9	2	1.453	14.922	272012	1547639	0.17575933405658556	806	SSSCC	S
20240206	PHO2	G9	3	0.473	7.998	163121	1213691	0.1344007659280657	1488	SSSCC	S
20240206	PHO2	G9	4	1.187	17.276	530169	2827621	0.18749648556153742	1963	SSSCC	S
20240206	PHO2	G9	5	1.546	18.792	708677	2709010	0.2615999940937833	1949	SSSCC	S
20240206	PHO2	G9	6	1.048	13.79	246087	1390915	0.17692454247743392	999	SSSCC	S
20240206	PHO2	G9	7	1.618	12.463	525868	1934360	0.2718563245724684	1364	SSSCC	S
20240206	PHO2	G9	8	1.96	18.526	572693	2566031	0.22318241673619688	1282	SSSCC	S
20240206	PHO2	G9	9	1.103	12.734	365309	1882223	0.19408380409760162	1412	SSSCC	S
20240206	PHO2	G9	10	2.332	11.749	455249	1420007	0.32059630691961377	836	SSSCC	S
20240214	pho2	Cg	1	2.7	28.679	570839	4067472	0.14034245349445554	893	CCCCC	C
20240214	pho2	Cg	2	1.238	11.086	191644	1281187	0.14958315999147664	651	CCCCC	C
20240214	pho2	Cg	3	0.896	9.679	250884	1393862	0.17999199346850692	1181	CCCCC	C
20240214	pho2	Cg	4	0.976	8.72	230579	1103823	0.20889128057668666	1008	CCCCC	C
