date	plate	well	plasmid	host	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP	flag
02/08	A	A1	194	PHO2	9367	484411	1881.5	35298.3	1863.3000000000002	38145.600000000006	pass
02/08	A	A2	213	PHO2	9122	408931.5	1269	15231.8	1732.1	20659.6	pass
02/08	A	A3	213	PHO2	9455	411686	753.5	12121.3	1103.8000000000002	17061.7	pass
02/08	A	A4	213	PHO2	2848	454196.5	1769	21092.3	1990.6	24931.2	pass
02/08	A	A5	194	PHO2	6079	426703	1693.5	28947.3	2138.9	38060.4	pass
02/08	A	A6	212	PHO2	8978	438902	1293.5	12376.3	1534.3000000000002	15094.699999999999	pass
02/08	A	A7	212	PHO2	5678	408890	1196.5	11014.3	1596.1	14679.4	pass
02/08	A	A8	212	PHO2	7435	399064	1031.5	10988.3	1467	14999.4	pass
02/08	A	A9	194	PHO2	7860	454668.5	1779.5	34800.8	2037	41829.3	pass
02/08	A	A10	215	PHO2	9197	397961	1566.5	10361.3	2228.3	13988.199999999999	pass
02/08	A	A11	215	PHO2	9200	384521.5	1152.5	6966.3	1755.8000000000002	9786.8	pass
02/08	A	A12	215	PHO2	8990	384663.5	1516	10298.3	2240.7000000000003	14585.3	pass
02/08	A	B2	213	pho2∆	8650	401974	1493.5	14313.8	2055.1	19334	pass
02/08	A	B3	213	pho2∆	9562	396552	788.5	11426.8	1248.4	16510.7	pass
02/08	A	B4	213	pho2∆	2719	423976	1705.5	18265.3	2139.2000000000003	23457.8	pass
02/08	A	B6	212	pho2∆	4265	385098	1227.5	11693.3	1889.7000000000003	16720.899999999998	pass
02/08	A	B7	212	pho2∆	9108	371537.5	912.5	8729.3	1562	13106	pass
02/08	A	B8	212	pho2∆	7823	373818	1174.5	10609.3	1875.7000000000003	15573.5	pass
02/08	A	B9	NA	pho2∆	9009	378237	-6.5	913.3	99.60000000000014	1340.3	pass
02/08	A	B10	215	pho2∆	5932	383343.5	2039	12725.8	3026.2000000000003	18273.8	pass
