well,file,sample
A2,416-555-1,416-555-1
A3,416-555-2,416-555-2
A4,416-555-3,416-555-3
A5,194-555-5,194-555-5
A6,420-555-1,420-555-1
A7,420-555-2,420-555-2
A8,420-555-3,420-555-3
A9,194-555-9,194-555-9
A10,424-555-1,424-555-1
A11,424-555-2,424-555-2
A12,424-555-3,424-555-3
B1,NA-blank-1,NA-blank-1
B2,416-373-1,416-373-1
B3,416-373-2,416-373-2
B4,416-373-3,416-373-3
B5,NA-156-2,NA-156-2
B6,420-373-1,420-373-1
B7,420-373-2,420-373-2
B8,420-373-3,420-373-3
B9,NA-373-3,NA-373-3
B10,424-373-1,424-373-1
B11,424-373-2,424-373-2
B12,424-373-3,424-373-3
C1,194-555-2,194-555-2
C2,417-555-1,417-555-1
C3,417-555-2,417-555-2
C4,417-555-3,417-555-3
C5,194-555-6,194-555-6
C6,421-555-1,421-555-1
C7,421-555-2,421-555-2
C8,421-555-3,421-555-3
C9,194-555-10,194-555-10
C10,425-555-1,425-555-1
C11,425-555-2,425-555-2
C12,425-555-3,425-555-3
D1,NA-555-1,NA-555-1
D2,417-373-1,417-373-1
D3,417-373-2,417-373-2
D4,417-373-3,417-373-3
D5,NA-blank-2,NA-blank-2
D6,421-373-1,421-373-1
D7,421-373-2,421-373-2
D8,421-373-3,421-373-3
D9,NA-156-3,NA-156-3
D10,425-373-1,425-373-1
D11,425-373-2,425-373-2
D12,425-373-3,425-373-3
E1,194-555-3,194-555-3
E2,418-555-1,418-555-1
E3,418-555-2,418-555-2
E4,418-555-3,418-555-3
E5,194-555-7,194-555-7
E6,422-555-1,422-555-1
E7,422-555-2,422-555-2
E8,422-555-3,422-555-3
E9,194-555-11,194-555-11
E10,194-529-1,194-529-1
E11,194-529-2,194-529-2
E12,194-529-3,194-529-3
F1,NA-373-1,NA-373-1
F2,418-373-1,418-373-1
F3,418-373-2,418-373-2
F4,418-373-3,418-373-3
F5,NA-555-2,NA-555-2
F6,422-373-1,422-373-1
F7,422-373-2,422-373-2
F8,422-373-3,422-373-3
F9,NA-blank-3,NA-blank-3
F10,194-373-1,194-373-1
F11,194-373-2,194-373-2
F12,194-373-3,194-373-3
G1,194-555-4,194-555-4
G2,419-555-1,419-555-1
G3,419-555-2,419-555-2
G4,419-555-3,419-555-3
G5,194-555-8,194-555-8
G6,423-555-1,423-555-1
G7,423-555-2,423-555-2
G8,423-555-3,423-555-3
G9,194-555-12,194-555-12
G10,188-555-1,188-555-1
G11,188-555-2,188-555-2
G12,188-555-3,188-555-3
H1,NA-156-1,NA-156-1
H2,419-373-1,419-373-1
H3,419-373-2,419-373-2
H4,419-373-3,419-373-3
H5,NA-373-2,NA-373-2
H6,423-373-1,423-373-1
H7,423-373-2,423-373-2
H8,423-373-3,423-373-3
H9,NA-555-3,NA-555-3
H10,188-373-1,188-373-1
H11,188-373-2,188-373-2
H12,188-373-3,188-373-3
A1,194-555-1,194-555-1
