date	plasmid	host	CV_YL2.H	CV_BL1.H	CV_FSC.H	plate	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
02/08	209	PHO2	0.312	0.355	0.065	A	C10	9427	351768	720.5	7213.3	1341.7000000000003	11501.3
02/08	209	PHO2	0.312	0.355	0.065	A	C11	7230	400359.5	1491.5	13383.8	2065.9	18128.899999999998
02/08	209	PHO2	0.312	0.355	0.065	A	C12	9278	372038	1053.5	9425.8	1720.1	14077.599999999999
02/08	209	pho2∆	0.304	0.434	0.042	A	D10	9379	334949	516.5	5661.3	1148.9	9462.599999999999
02/08	209	pho2∆	0.304	0.434	0.042	A	D11	8921	362538	1347.5	10631.3	2240.1	16241.5
02/08	209	pho2∆	0.304	0.434	0.042	A	D12	9094	358023.5	1199.5	9594.3	2053.5	15110
02/08	213	PHO2	0.282	0.402	0.06	A	A2	9122	408931.5	1269	15231.8	1732.1	20659.6
02/08	213	PHO2	0.282	0.402	0.06	A	A3	9455	411686	753.5	12121.3	1103.8000000000002	17061.7
02/08	213	PHO2	0.282	0.402	0.06	A	A4	2848	454196.5	1769	21092.3	1990.6	24931.2
02/08	213	pho2∆	0.234	0.361	0.036	A	B2	8650	401974	1493.5	14313.8	2055.1	19334
02/08	213	pho2∆	0.234	0.361	0.036	A	B3	9562	396552	788.5	11426.8	1248.4	16510.7
02/08	213	pho2∆	0.234	0.361	0.036	A	B4	2719	423976	1705.5	18265.3	2139.2000000000003	23457.8
02/08	215	PHO2	0.211	0.16	0.02	A	A10	9197	397961	1566.5	10361.3	2228.3	13988.199999999999
02/08	215	PHO2	0.211	0.16	0.02	A	A11	9200	384521.5	1152.5	6966.3	1755.8000000000002	9786.8
02/08	215	PHO2	0.211	0.16	0.02	A	A12	8990	384663.5	1516	10298.3	2240.7000000000003	14585.3
02/08	232	PHO2	0.199	0.351	0.044	A	C2	7301	410334	1449.5	27220.3	2033.6	38449.100000000006
02/08	232	PHO2	0.199	0.351	0.044	A	C3	9609	386858	761.5	21345.3	1285.8000000000002	31814.1
02/08	232	PHO2	0.199	0.351	0.044	A	C4	2983	422003	1595.5	32037.3	2070.5	42823.9
02/08	232	pho2∆	0.318	0.25	0.016	A	D2	9071	385108	1591.5	1408.3	2312.7000000000003	1985.2
02/08	232	pho2∆	0.318	0.25	0.016	A	D3	9856	386340	1113.5	2471.3	1614.2000000000003	3562.4
02/08	232	pho2∆	0.318	0.25	0.016	A	D4	4530	396430.5	1866.5	1555.8	2415.7000000000003	2113.8
02/08	234	pho2∆	0.182	0.337	0.023	A	F2	4963	374243	3028.5	6112.3	4631.700000000001	8752.3
02/08	234	pho2∆	0.182	0.337	0.023	A	F3	5399	377646	1608.5	4534.3	2511.9	6877.5
02/08	234	pho2∆	0.182	0.337	0.023	A	F4	4949	390552	3227.5	6493.3	4605.200000000001	8973.5
02/08	235	PHO2	0.183	0.467	0.059	A	G2	5209	361041	1876.5	3291.3	3032.4	5011.9000000000005
02/08	235	PHO2	0.183	0.467	0.059	A	G3	5291	341756	701.5	2272.3	1361.5	3611.9
02/08	235	PHO2	0.183	0.467	0.059	A	G4	5035	384648	1980.5	2799.3	2974.3	4057.7
02/08	239	pho2∆	0.139	0.352	0.027	A	H6	5007	344459	3881.5	9330.3	6610.700000000001	15335.199999999999
02/08	239	pho2∆	0.139	0.352	0.027	A	H7	4945	338086	2972.5	8365.3	5233	14091.8
02/08	239	pho2∆	0.139	0.352	0.027	A	H8	5110	326484	1844.5	7052.3	3542.0000000000005	12219.9
02/08	NA	PHO2	0.169	0.844	0.021	A	D1	9185	396095	111.5	491.3	205.80000000000018	678.5999999999999
02/08	NA	PHO2	0.169	0.844	0.021	A	F5	5149	384401	4.5	457.3	110.10000000000014	666.9
02/08	NA	PHO2	0.169	0.844	0.021	A	H9	5144	400126	79	625.3	143.10000000000014	856
02/08	NA	pho2∆	0.294	1.662	0.027	A	B9	9009	378237	-6.5	913.3	99.60000000000014	1340.3
02/08	NA	pho2∆	0.294	1.662	0.027	A	F1	5172	382306.5	10	503.3	108.5	726.1999999999999
02/08	NA	pho2∆	0.294	1.662	0.027	A	H5	5155	397968	24.5	683.3	78	945.0999999999999
02/09	188	PHO2	0.057	0.226	0.014	A	C2	5143	401761	1069.5	13764.3	1524.7000000000003	18689.399999999998
02/09	188	PHO2	0.057	0.226	0.014	A	C3	5037	392437	1052.5	14054.3	1571.1	19875.6
02/09	188	PHO2	0.057	0.226	0.014	A	C4	5076	392017.5	693.5	12602.8	1067.1	17717.2
02/09	188	pho2∆	0.147	0.341	0.036	A	D2	5116	382576	1136.5	13195.3	1734.5	19357.399999999998
02/09	188	pho2∆	0.147	0.341	0.036	A	D3	5189	397190	1224.5	14799.3	1750.5	20336.6
02/09	188	pho2∆	0.147	0.341	0.036	A	D4	5141	369476	602.5	11004.3	1058.7000000000003	16365.599999999999
02/09	209	PHO2	0.14	0.227	0.024	A	G2	5102	374376.5	1263	8471.8	1994.7000000000003	12443.4
02/09	209	PHO2	0.14	0.227	0.024	A	G3	5072	360961	1038.5	6863.8	1812.6	10674.4
02/09	209	PHO2	0.14	0.227	0.024	A	G4	5089	377377	794.5	6574.3	1298.8000000000002	9442.3
02/09	215	PHO2	0.343	0.512	0.058	A	E2	5217	382829	1486.5	8537.3	2231.4	12110.599999999999
02/09	215	PHO2	0.343	0.512	0.058	A	E3	4968	344143.5	737.5	4788.8	1448.3000000000002	7608.7
02/09	215	PHO2	0.343	0.512	0.058	A	E4	5106	349547.5	590.5	5030.3	1163.6	7933.7
02/09	215	pho2∆	0.163	0.25	0.021	A	F2	5065	350917	1679.5	9525.3	2902.6	15217.099999999999
02/09	215	pho2∆	0.163	0.25	0.021	A	F3	4788	361708.5	1866.5	9566.3	2948.5	14602.8
02/09	215	pho2∆	0.163	0.25	0.021	A	F4	5180	347088	1118.5	7080.3	2071.7000000000003	11628.8
02/09	216	pho2∆	0.302	0.471	0.053	A	H6	4997	351421	1689.5	3777.3	3035.6	6343
02/09	216	pho2∆	0.302	0.471	0.053	A	H7	5027	334410	794.5	2856.3	1641.4	5023
02/09	216	pho2∆	0.302	0.471	0.053	A	H8	4964	371551	2278	5220.3	3551.7999999999997	7914.2
02/09	232	pho2∆	0.217	0.251	0.005	A	D6	5184	373825	1220.5	975.8	1795.8000000000002	1415.5
02/09	232	pho2∆	0.217	0.251	0.005	A	D7	5076	371777	1957	1506.3	2649.7000000000003	2156.3
02/09	232	pho2∆	0.217	0.251	0.005	A	D8	5081	370476	1401.5	1196.3	2043.9	1749.7
02/09	234	PHO2	0.121	0.235	0.002	A	A10	2751	538643	1870.5	47349.3	1395.9	44841.5
02/09	234	PHO2	0.121	0.235	0.002	A	A11	5773	540909	1208.5	41171.3	818.4000000000001	38624.8
02/09	234	PHO2	0.121	0.235	0.002	A	A12	1826	541004	1894.5	52541.3	1393.4	49397.8
02/09	234	pho2∆	0.167	0.21	0.05	A	B10	5158	296022	1492	3525.3	3373.1	6856.2
02/09	234	pho2∆	0.167	0.21	0.05	A	B11	5035	327028	1968.5	4195.3	3716.7000000000003	7191.4000000000005
02/09	234	pho2∆	0.167	0.21	0.05	A	B12	5038	316577.5	1322	3002.8	2788.3	5363.6
02/09	NA	PHO2	0.082	0.727	0.018	A	D1	5222	379994	67.5	359.3	201.60000000000014	522.3
02/09	NA	PHO2	0.082	0.727	0.018	A	F5	5230	381902	58.5	423.3	171.70000000000005	606.5
02/09	NA	PHO2	0.082	0.727	0.018	A	H9	5168	369349.5	7.5	397.3	146.5	599.6999999999999
02/09	NA	pho2∆	0.117	1.409	0.028	A	B9	5244	373079.5	11.5	649.3	144.70000000000005	963.0999999999999
02/09	NA	pho2∆	0.117	1.409	0.028	A	F1	5182	394352	32.5	607.3	100.10000000000014	845.4
02/09	NA	pho2∆	0.117	1.409	0.028	A	H5	5215	380341	-4.5	514.3	89.40000000000009	738
02/11	220	PHO2	0.344	0.181	0.058	A	E10	5278	375096.5	884.5	1918.8	1372.4	2746
02/11	220	PHO2	0.344	0.181	0.058	A	E11	5084	339640.5	1274.5	3546.3	2415.3	6122.5
02/11	220	PHO2	0.344	0.181	0.058	A	E12	5297	340459	1157.5	3961.3	2149.1	6737.9000000000005
02/11	220	pho2∆	0.3	0.265	0.04	A	F10	5246	385229	921.5	2012.8	1354.5	2859.1000000000004
02/11	220	pho2∆	0.3	0.265	0.04	A	F11	5349	358458	1425.5	3345.3	2523.3	6167
02/11	220	pho2∆	0.3	0.265	0.04	A	F12	5078	383298	929	2101.3	1372.6	2979.8
02/11	227	PHO2	0.086	0.223	0.011	A	G2	5151	362658	2612.5	5094.3	4197.5	7910.8
02/11	227	PHO2	0.086	0.223	0.011	A	G3	5125	355070	1909.5	5379.3	3174.2999999999997	8475.199999999999
