plasmid	set	symbol	group	A_PHO2	A_pho2	s_PHO2	s_pho2	boost
188	M	CCCCC	ref	18.094885043133885	16.73796489603677	1.0260063350504105	15.619183133387512	1.0810684067940903
194	M	SSSSS	ref	17.636231302845548	1.0716286987030554	1	1	16.457408544759854
209	M	CCSCC	chimera	8.253969236943249	7.822824358284187	0.4680120766850851	7.299939211922752	1.0551137107152981
210	A	CCCCS	chimera	5.397018405471347	5.477823013463903	0.3060188037225706	5.111680025080952	0.9852487735010886
211	M	CCCSC	chimera	22.301553688349657	4.791502119692074	1.2645305737599037	4.47123348365998	4.654397124587491
212	M	SCCCC	chimera	9.788766065128724	8.766100475027617	0.5550372920970559	8.180165840684221	1.1166614041231242
213	M	CSCCC	chimera	11.998733883952156	10.354378523556342	0.6803456859865633	9.662281848263103	1.1588077311115181
215	M	SSCCC	chimera	6.701184771304095	5.829635880182562	0.37996693603257975	5.439977379513922	1.149503143769974
216	A	SCCCS	n.f.	2.173973882485664	2.661074215161377	0.12326748527815579	2.4832054408228865	0.816953495734739
217	M	CSSCC	chimera	6.270249281044277	5.243619684365439	0.35553226612720784	4.893131073021428	1.1957864335088744
218	M	CCSSC	chimera	21.603642745958357	2.8007284301422244	1.224958006899846	2.613525033000536	7.713579979213228
219	M	CCCSS	chimera	32.67530661433337	5.345591913348256	1.8527374728330603	4.98828737959126	6.112570346558108
220	M	SCSCC	n.f.	2.461363860540186	2.2263280552804905	0.13956291558407113	2.0775181347559246	1.105571056656376
221	M	CSCSS	chimera	31.10619846464107	4.986868536013071	1.763766755521186	4.653541419755234	6.237621513381628
222	M	SCCSS	chimera	40.44793254550858	3.0366811118956085	2.293456683060311	2.833706409291547	13.319782701931283
223	M	CSCSC	chimera	19.190885296916992	4.252679969196822	1.0881511456373678	3.968426726853855	4.512656827205706
224	M	SCSCS	n.f.	1.0049784803051922	1.160144312457401	0.05698374346808676	1.0825991445184997	0.866252990696012
227	M	SSSCC	n.f.	2.6400604911132577	1.9584701475603277	0.14969527478851405	1.8275641086605623	1.348021819174517
229	M	SSSCS	n.f.	0.9846358751182878	1.0495557761749137	0.05583028812734045	0.9794024529626207	0.9381453539389538
230	M	SSCSS	chimera	32.624661737149935	2.8906931273139893	1.8498658345383605	2.697476402799278	11.286103470784022
231	M	CSSSS	chimera	21.22733687750212	1.6883308969494994	1.2036209161124551	1.5754812268398666	12.572971871720156
232	M	SCSSS	chimera	19.873186466813614	1.0601029721638653	1.1268386156631514	0.9892446641703986	18.746468021166645
233	M	SSSSC	chimera	13.98069541737573	0.42980666744110646	0.7927257914291468	0.40107797407934515	32.52787003191711
234	M	CCSSS	chimera	31.042370782069522	2.2690856050584305	1.7601476329617505	2.117417728551507	13.68056397381718
235	M	SSCCS	n.f.	1.8907782347881499	1.7980366469221436	0.10720987961203927	1.6778541383766854	1.0515793646501923
239	M	SSCSC	chimera	16.451042182597384	2.758120603484606	0.9327980507912176	2.5737651546871008	5.96458405836683
240	M	CCSCS	n.f.	2.8033417612044835	2.349144353180344	0.15895356060294885	2.192125272515946	1.1933458909875985
241	M	CSSSC	chimera	15.232177081079508	2.4220169837923597	0.8636866243992755	2.2601270260152786	6.289046353931499
250	M	CSSCS	n.f.	1.5289259699057687	1.3985951179543341	0.08669232919728613	1.30511166754585	1.0931869776165557
251	M	SCCSC	chimera	16.47252344713153	2.2028751542931135	0.934016069775278	2.055632848354244	7.477738089255195
252	M	SCSSC	chimera	13.497456328709864	1.339751053377531	0.7653254313200175	1.2502007971594753	10.074600273448258
253	M	CSCCS	n.f.	3.0463726796580803	3.125766511200087	0.1727337676256581	2.9168372543429113	0.9746002040595396
254	S	CSScsC	chimera	8.828485000256908	2.182713096842808	0.5005879571806512	2.036818442324705	4.044729934056334
255	S	CSSscC	chimera	12.6422163470089	5.119300117076468	0.7168320787995743	4.777121145852224	2.469520453555402
257	S	CCCscC	chimera	31.71249133960087	18.66586146156058	1.7981444445267716	17.418217227805716	1.6989567507991945
258	S	CCCcsC	chimera	11.008847558843726	4.183058499759521	0.6242176896981094	3.903458823771788	2.631769926114256
265	S	SSSscC	chimera	8.084674188717965	2.4828336055687843	0.45841280089207775	2.3168786059701905	3.2562287583770133
266	S	SSscCC	chimera	5.47501067509577	4.753651798019172	0.3104410789969847	4.435913114096613	1.151748362675025
276	S	SCCscC	chimera	27.265830530567836	8.373909801884627	1.5460123006080433	7.81418957146183	3.2560454047918457
277	S	CSCscC	chimera	25.942676961181245	15.93163587061892	1.470987566203868	14.866749919911877	1.6283749623618162
278	S	SSSscS	n.f.	2.575008408727263	1.2761315220194065	0.14600672697640305	1.1908336568102849	2.017823683762985
279	S	CSSscS	chimera	5.328198814498675	1.9126512250064505	0.302116632686655	1.7848077672063534	2.7857660324248115
