Exp	Loading	Time_Range	Concentration	Response
eH083	0.19	2490-2495	80	0.6946
eH083	0.19	2490-2495	40	0.6959
eH083	0.19	2490-2495	20	0.7168
eH083	0.19	2490-2495	10	0.7213
eH083	0.19	2490-2495	7.5	0.6731
eH083	0.19	2490-2495	5	0.5679
eH083	0.19	2490-2495	2.5	0.1931
eH093	0.2	1903-1908	1500	0.8389
eH093	0.2	1903-1908	1000	0.8405
eH093	0.2	1903-1908	200	0.8258
eH093	0.2	1903-1908	100	0.8279
eH093	0.2	1903-1908	50	0.7828
eH093	0.2	1903-1908	12.5	0.6487
eH106	0.2	2490-2495	80	0.8172
eH106	0.2	2490-2495	40	0.8534
eH106	0.2	2490-2495	20	0.8113
eH106	0.2	2490-2495	10	0.8225
eH106	0.2	2490-2495	7.5	0.8018
eH106	0.2	2490-2495	5	0.7559
eH106	0.2	2490-2495	2.5	0.6823
eH116	0.2	2590-2595	80	0.5902
eH116	0.2	2590-2595	40	0.5993
eH116	0.2	2590-2595	20	0.5632
eH116	0.2	2590-2595	10	0.539
eH116	0.2	2590-2595	7.5	0.4421
eH116	0.2	2590-2595	5	0.4054
eH116	0.2	2590-2595	2.5	0.2798
eH120	0.095	1990-1995	40	0.4355
eH120	0.095	1990-1995	20	0.4714
eH120	0.095	1990-1995	10	0.4392
eH120	0.095	1990-1995	5	0.4343
eH120	0.095	1990-1995	2	0.3717
eH120	0.095	1990-1995	1	0.2151
eH120	0.095	1990-1995	0.5	0.1373
eH122	0.115	1990-1995	40	0.3996
eH122	0.115	1990-1995	20	0.4123
eH122	0.115	1990-1995	10	0.3966
eH122	0.115	1990-1995	5	0.3793
eH122	0.115	1990-1995	2	0.3097
eH122	0.115	1990-1995	1	0.2176
eH122	0.115	1990-1995	0.5	0.1281
eH135	0.15	1490-1495	33.2	0.5065
eH135	0.15	1490-1495	16.6	0.4796
eH135	0.15	1490-1495	8.3	0.4646
eH135	0.15	1490-1495	4.15	0.4208
eH135	0.15	1490-1495	1.66	0.2381
eH135	0.15	1490-1495	0.83	0.1082
eH135	0.15	1490-1495	0.415	0.0561
eH136	0.12	1490-1495	40	0.5141
eH136	0.12	1490-1495	20	0.5032
eH136	0.12	1490-1495	10	0.4976
eH136	0.12	1490-1495	5	0.4711
eH136	0.12	1490-1495	2	0.3155
eH136	0.12	1490-1495	1	0.164
eH136	0.12	1490-1495	0.5	0.0877
eH145	0.18	2990-2995	40	0.4575
eH145	0.18	2990-2995	20	0.4373
eH145	0.18	2990-2995	10	0.4074
eH145	0.18	2990-2995	5	0.3212
eH145	0.18	2990-2995	2	0.117
eH145	0.18	2990-2995	1	0.0595
eH145	0.18	2990-2995	0.4	0.0185
eH158	0.18	2990-2995	40	0.3689
eH158	0.18	2990-2995	20	0.296
eH158	0.18	2990-2995	10	0.2302
eH158	0.18	2990-2995	5	0.1347
eH158	0.18	2990-2995	1	0.0314
eH158	0.18	2990-2995	0.4	0.0185
eH165	0.2	2990-2995	40	0.4144
eH165	0.2	2990-2995	20	0.3132
eH165	0.2	2990-2995	10	0.3563
eH165	0.2	2990-2995	4	0.1454
eH165	0.2	2990-2995	1	0.014
eH165	0.2	2990-2995	0.4	0.0053
eH175	0.2	2990-2995	40	0.3922
eH175	0.2	2990-2995	20	0.3986
eH175	0.2	2990-2995	10	0.377
eH175	0.2	2990-2995	4	0.1685
eH175	0.2	2990-2995	2	0.0705
eH175	0.2	2990-2995	1	0.0284
eH175	0.2	2990-2995	0.4	0.0235
