sample,gate,parameter,count,median
434-696-1,R1,GAL1pr-mCherry-H,52,17627
434-696-2,R1,GAL1pr-mCherry-H,81,16812
434-696-3,R1,GAL1pr-mCherry-H,69,17289
346-696-5,R1,GAL1pr-mCherry-H,1926,19558
349-696-1,R1,GAL1pr-mCherry-H,5,18411
349-696-2,R1,GAL1pr-mCherry-H,0,N/A
349-696-3,R1,GAL1pr-mCherry-H,0,N/A
346-696-9,R1,GAL1pr-mCherry-H,2429,19728
NA-blank-1,R1,GAL1pr-mCherry-H,3,22635
247-696-1,R1,GAL1pr-mCherry-H,1,17062
247-696-2,R1,GAL1pr-mCherry-H,1,14986
247-696-3,R1,GAL1pr-mCherry-H,6,19106
NA-549-2,R1,GAL1pr-mCherry-H,10,20558
389-696-1,R1,GAL1pr-mCherry-H,587,19460
389-696-2,R1,GAL1pr-mCherry-H,600,19128
389-696-3,R1,GAL1pr-mCherry-H,584,19042
NA-696-5,R1,GAL1pr-mCherry-H,13,18070
346-696-2,R1,GAL1pr-mCherry-H,1200,19198
363-696-1,R1,GAL1pr-mCherry-H,2,21940
363-696-2,R1,GAL1pr-mCherry-H,18,17123
363-696-3,R1,GAL1pr-mCherry-H,24,16622
346-696-6,R1,GAL1pr-mCherry-H,1672,19351
388-696-1,R1,GAL1pr-mCherry-H,391,19145
388-696-2,R1,GAL1pr-mCherry-H,443,19190
388-696-3,R1,GAL1pr-mCherry-H,789,19328
346-696-10,R1,GAL1pr-mCherry-H,1510,19411
NA-696-1,R1,GAL1pr-mCherry-H,0,N/A
362-696-1,R1,GAL1pr-mCherry-H,2,17424
362-696-2,R1,GAL1pr-mCherry-H,8,16584
362-696-3,R1,GAL1pr-mCherry-H,6,19024
NA-blank-2,R1,GAL1pr-mCherry-H,0,N/A
390-696-1,R1,GAL1pr-mCherry-H,359,18482
390-696-2,R1,GAL1pr-mCherry-H,357,18581
390-696-3,R1,GAL1pr-mCherry-H,366,19010
NA-549-3,R1,GAL1pr-mCherry-H,1,21477
346-696-3,R1,GAL1pr-mCherry-H,573,18708
351-696-1,R1,GAL1pr-mCherry-H,0,N/A
351-696-2,R1,GAL1pr-mCherry-H,17,19256
351-696-3,R1,GAL1pr-mCherry-H,7,18742
346-696-7,R1,GAL1pr-mCherry-H,795,18819
391-696-1,R1,GAL1pr-mCherry-H,216,17723
391-696-2,R1,GAL1pr-mCherry-H,314,18806
391-696-3,R1,GAL1pr-mCherry-H,277,18336
346-696-11,R1,GAL1pr-mCherry-H,2013,19273
NA-696-2,R1,GAL1pr-mCherry-H,2,20528
352-696-1,R1,GAL1pr-mCherry-H,516,19458
352-696-2,R1,GAL1pr-mCherry-H,514,19240
352-696-3,R1,GAL1pr-mCherry-H,549,19111
NA-696-3,R1,GAL1pr-mCherry-H,2,17607
386-696-1,R1,GAL1pr-mCherry-H,2,16914
386-696-2,R1,GAL1pr-mCherry-H,3,18403
386-696-3,R1,GAL1pr-mCherry-H,5,17145
NA-blank-3,R1,GAL1pr-mCherry-H,0,N/A
346-696-4,R1,GAL1pr-mCherry-H,1039,19086
379-696-1,R1,GAL1pr-mCherry-H,23,17486
379-696-2,R1,GAL1pr-mCherry-H,0,N/A
379-696-3,R1,GAL1pr-mCherry-H,23,16411
346-696-8,R1,GAL1pr-mCherry-H,461,18901
377-696-1,R1,GAL1pr-mCherry-H,14,17225
377-696-2,R1,GAL1pr-mCherry-H,8,19819
377-696-3,R1,GAL1pr-mCherry-H,27,21694
346-696-12,R1,GAL1pr-mCherry-H,1348,19110
NA-549-1,R1,GAL1pr-mCherry-H,0,N/A
380-696-1,R1,GAL1pr-mCherry-H,7,20148
380-696-2,R1,GAL1pr-mCherry-H,1,17272
380-696-3,R1,GAL1pr-mCherry-H,0,N/A
NA-696-4,R1,GAL1pr-mCherry-H,1,16305
378-696-1,R1,GAL1pr-mCherry-H,55,18417
378-696-2,R1,GAL1pr-mCherry-H,2,18796
378-696-3,R1,GAL1pr-mCherry-H,18,19382
NA-696-6,R1,GAL1pr-mCherry-H,10,18030
387-696-1,R1,GAL1pr-mCherry-H,8,15738
387-696-2,R1,GAL1pr-mCherry-H,0,N/A
387-696-3,R1,GAL1pr-mCherry-H,67,19452
350-696-1,R1,GAL1pr-mCherry-H,8,15690
350-696-2,R1,GAL1pr-mCherry-H,11,16958
350-696-3,R1,GAL1pr-mCherry-H,1,17823
346-696-1,R1,GAL1pr-mCherry-H,1324,19609
434-696-1,singlets,GAL1pr-mCherry-H,10000,1280
434-696-2,singlets,GAL1pr-mCherry-H,10000,1555
434-696-3,singlets,GAL1pr-mCherry-H,10000,1846
346-696-5,singlets,GAL1pr-mCherry-H,10000,8785
349-696-1,singlets,GAL1pr-mCherry-H,4240,149
349-696-2,singlets,GAL1pr-mCherry-H,5329,102
349-696-3,singlets,GAL1pr-mCherry-H,7266,109
346-696-9,singlets,GAL1pr-mCherry-H,10000,11353
NA-blank-1,singlets,GAL1pr-mCherry-H,97,4440
247-696-1,singlets,GAL1pr-mCherry-H,10000,124
247-696-2,singlets,GAL1pr-mCherry-H,10000,126
247-696-3,singlets,GAL1pr-mCherry-H,5932,121
NA-549-2,singlets,GAL1pr-mCherry-H,10000,228
389-696-1,singlets,GAL1pr-mCherry-H,10000,3277
389-696-2,singlets,GAL1pr-mCherry-H,10000,3556
389-696-3,singlets,GAL1pr-mCherry-H,10000,3297
NA-696-5,singlets,GAL1pr-mCherry-H,10000,176
346-696-2,singlets,GAL1pr-mCherry-H,7702,7648
363-696-1,singlets,GAL1pr-mCherry-H,8141,915
363-696-2,singlets,GAL1pr-mCherry-H,10000,808
363-696-3,singlets,GAL1pr-mCherry-H,10000,1001
346-696-6,singlets,GAL1pr-mCherry-H,10000,8171
388-696-1,singlets,GAL1pr-mCherry-H,10000,2721
388-696-2,singlets,GAL1pr-mCherry-H,10000,2893
388-696-3,singlets,GAL1pr-mCherry-H,10000,4382
346-696-10,singlets,GAL1pr-mCherry-H,8162,8669
NA-696-1,singlets,GAL1pr-mCherry-H,10000,115
362-696-1,singlets,GAL1pr-mCherry-H,10000,734
362-696-2,singlets,GAL1pr-mCherry-H,10000,776
362-696-3,singlets,GAL1pr-mCherry-H,10000,689
NA-blank-2,singlets,GAL1pr-mCherry-H,18,2315
390-696-1,singlets,GAL1pr-mCherry-H,10000,2769
390-696-2,singlets,GAL1pr-mCherry-H,10000,2804
390-696-3,singlets,GAL1pr-mCherry-H,10000,2962
NA-549-3,singlets,GAL1pr-mCherry-H,10000,116
346-696-3,singlets,GAL1pr-mCherry-H,10000,3932
351-696-1,singlets,GAL1pr-mCherry-H,7046,1005
351-696-2,singlets,GAL1pr-mCherry-H,10000,863
351-696-3,singlets,GAL1pr-mCherry-H,7696,957
346-696-7,singlets,GAL1pr-mCherry-H,10000,5024
391-696-1,singlets,GAL1pr-mCherry-H,10000,3004
391-696-2,singlets,GAL1pr-mCherry-H,10000,3158
391-696-3,singlets,GAL1pr-mCherry-H,10000,3104
346-696-11,singlets,GAL1pr-mCherry-H,10000,9105
NA-696-2,singlets,GAL1pr-mCherry-H,10000,101
352-696-1,singlets,GAL1pr-mCherry-H,9714,3897
352-696-2,singlets,GAL1pr-mCherry-H,10000,3706
352-696-3,singlets,GAL1pr-mCherry-H,10000,3760
NA-696-3,singlets,GAL1pr-mCherry-H,10000,118
386-696-1,singlets,GAL1pr-mCherry-H,10000,204
386-696-2,singlets,GAL1pr-mCherry-H,5085,191
386-696-3,singlets,GAL1pr-mCherry-H,10000,231
NA-blank-3,singlets,GAL1pr-mCherry-H,12,465
346-696-4,singlets,GAL1pr-mCherry-H,7635,6616
379-696-1,singlets,GAL1pr-mCherry-H,10000,1454
379-696-2,singlets,GAL1pr-mCherry-H,10000,352
379-696-3,singlets,GAL1pr-mCherry-H,10000,1479
346-696-8,singlets,GAL1pr-mCherry-H,10000,3621
377-696-1,singlets,GAL1pr-mCherry-H,10000,132
377-696-2,singlets,GAL1pr-mCherry-H,10000,135
377-696-3,singlets,GAL1pr-mCherry-H,10000,160
346-696-12,singlets,GAL1pr-mCherry-H,10000,6884
NA-549-1,singlets,GAL1pr-mCherry-H,10000,93
380-696-1,singlets,GAL1pr-mCherry-H,10000,211
380-696-2,singlets,GAL1pr-mCherry-H,10000,227
380-696-3,singlets,GAL1pr-mCherry-H,10000,195
NA-696-4,singlets,GAL1pr-mCherry-H,10000,118
378-696-1,singlets,GAL1pr-mCherry-H,10000,210
378-696-2,singlets,GAL1pr-mCherry-H,10000,151
378-696-3,singlets,GAL1pr-mCherry-H,10000,169
NA-696-6,singlets,GAL1pr-mCherry-H,10000,189
387-696-1,singlets,GAL1pr-mCherry-H,6081,110
387-696-2,singlets,GAL1pr-mCherry-H,8407,101
387-696-3,singlets,GAL1pr-mCherry-H,10000,185
350-696-1,singlets,GAL1pr-mCherry-H,10000,284
350-696-2,singlets,GAL1pr-mCherry-H,10000,262
350-696-3,singlets,GAL1pr-mCherry-H,10000,228
346-696-1,singlets,GAL1pr-mCherry-H,10000,6422


434-696-1,cells,FSC-H,13770,295292
434-696-2,cells,FSC-H,14641,330653
434-696-3,cells,FSC-H,13350,314056
346-696-5,cells,FSC-H,24542,533084
349-696-1,cells,FSC-H,33954,607200
349-696-2,cells,FSC-H,10281,455477
349-696-3,cells,FSC-H,16178,470472
346-696-9,cells,FSC-H,25099,549957
NA-blank-1,cells,FSC-H,157,155390
247-696-1,cells,FSC-H,19206,403687
247-696-2,cells,FSC-H,19225,398962
247-696-3,cells,FSC-H,10649,391989
NA-549-2,cells,FSC-H,15392,326743
389-696-1,cells,FSC-H,17109,345715
389-696-2,cells,FSC-H,16948,355258
389-696-3,cells,FSC-H,17410,345998
NA-696-5,cells,FSC-H,18824,377552
346-696-2,cells,FSC-H,15796,456059
363-696-1,cells,FSC-H,12800,329466
363-696-2,cells,FSC-H,14544,305231
363-696-3,cells,FSC-H,15014,308454
346-696-6,cells,FSC-H,17379,373387
388-696-1,cells,FSC-H,15432,333266
388-696-2,cells,FSC-H,17943,366025
388-696-3,cells,FSC-H,16841,345738
346-696-10,cells,FSC-H,16750,454803
NA-696-1,cells,FSC-H,16157,318996
362-696-1,cells,FSC-H,16354,328672
362-696-2,cells,FSC-H,14405,324959
362-696-3,cells,FSC-H,14339,322759
NA-blank-2,cells,FSC-H,25,217879
390-696-1,cells,FSC-H,15674,322188
390-696-2,cells,FSC-H,15332,318507
390-696-3,cells,FSC-H,15748,326806
NA-549-3,cells,FSC-H,15311,341476
346-696-3,cells,FSC-H,17458,399533
351-696-1,cells,FSC-H,10450,332848
351-696-2,cells,FSC-H,14316,324396
351-696-3,cells,FSC-H,12001,343773
346-696-7,cells,FSC-H,17289,413706
391-696-1,cells,FSC-H,14272,323528
391-696-2,cells,FSC-H,15702,326640
391-696-3,cells,FSC-H,14098,314604
346-696-11,cells,FSC-H,19920,457380
NA-696-2,cells,FSC-H,13389,303434
352-696-1,cells,FSC-H,14633,328615
352-696-2,cells,FSC-H,13493,302155
352-696-3,cells,FSC-H,14762,315249
NA-696-3,cells,FSC-H,14740,322905
386-696-1,cells,FSC-H,16718,354841
386-696-2,cells,FSC-H,8489,365353
386-696-3,cells,FSC-H,18039,366649
NA-blank-3,cells,FSC-H,19,379563
346-696-4,cells,FSC-H,14578,421789
379-696-1,cells,FSC-H,13875,317600
379-696-2,cells,FSC-H,15121,355439
379-696-3,cells,FSC-H,15192,336819
346-696-8,cells,FSC-H,17920,387577
377-696-1,cells,FSC-H,17595,359855
377-696-2,cells,FSC-H,17794,382138
377-696-3,cells,FSC-H,18424,370534
346-696-12,cells,FSC-H,20025,442639
NA-549-1,cells,FSC-H,14727,330308
380-696-1,cells,FSC-H,15614,349216
380-696-2,cells,FSC-H,16103,334853
380-696-3,cells,FSC-H,16259,351221
NA-696-4,cells,FSC-H,15018,326898
378-696-1,cells,FSC-H,18543,417707
378-696-2,cells,FSC-H,18572,411708
378-696-3,cells,FSC-H,17416,407400
NA-696-6,cells,FSC-H,15709,348594
387-696-1,cells,FSC-H,16028,561535
387-696-2,cells,FSC-H,21247,545508
387-696-3,cells,FSC-H,24702,533387
350-696-1,cells,FSC-H,16956,346266
350-696-2,cells,FSC-H,18140,378290
350-696-3,cells,FSC-H,20440,443241
346-696-1,cells,FSC-H,17088,386982

434-696-1,singlets,FSC-H,10000,271015
434-696-2,singlets,FSC-H,10000,283381
434-696-3,singlets,FSC-H,10000,277748
346-696-5,singlets,FSC-H,10000,333863
349-696-1,singlets,FSC-H,4240,406686
349-696-2,singlets,FSC-H,5329,351514
349-696-3,singlets,FSC-H,7266,332551
346-696-9,singlets,FSC-H,10000,339882
NA-blank-1,singlets,FSC-H,97,170075
247-696-1,singlets,FSC-H,10000,318011
247-696-2,singlets,FSC-H,10000,322659
247-696-3,singlets,FSC-H,5932,316095
NA-549-2,singlets,FSC-H,10000,287241
389-696-1,singlets,FSC-H,10000,284187
389-696-2,singlets,FSC-H,10000,290117
389-696-3,singlets,FSC-H,10000,289082
NA-696-5,singlets,FSC-H,10000,300580
346-696-2,singlets,FSC-H,7702,322498
363-696-1,singlets,FSC-H,8141,286263
363-696-2,singlets,FSC-H,10000,278423
363-696-3,singlets,FSC-H,10000,274718
346-696-6,singlets,FSC-H,10000,300736
388-696-1,singlets,FSC-H,10000,285280
388-696-2,singlets,FSC-H,10000,292710
388-696-3,singlets,FSC-H,10000,288657
346-696-10,singlets,FSC-H,8162,327340
NA-696-1,singlets,FSC-H,10000,282029
362-696-1,singlets,FSC-H,10000,288511
362-696-2,singlets,FSC-H,10000,290049
362-696-3,singlets,FSC-H,10000,288623
NA-blank-2,singlets,FSC-H,18,220257
390-696-1,singlets,FSC-H,10000,281394
390-696-2,singlets,FSC-H,10000,283313
390-696-3,singlets,FSC-H,10000,281992
NA-549-3,singlets,FSC-H,10000,300501
346-696-3,singlets,FSC-H,10000,321035
351-696-1,singlets,FSC-H,7046,294423
351-696-2,singlets,FSC-H,10000,291455
351-696-3,singlets,FSC-H,7696,299430
