Sample,Gate,X Parameter,Count,X Median


346-696-5,R1,GAL1pr-mCherry-H,1141,19452
346-696-9,R1,GAL1pr-mCherry-H,1592,19541
NA-blank-1,R1,GAL1pr-mCherry-H,1,17169
NA-549-2,R1,GAL1pr-mCherry-H,0,N/A
NA-696-5,R1,GAL1pr-mCherry-H,0,N/A
346-696-2,R1,GAL1pr-mCherry-H,787,19107
346-696-6,R1,GAL1pr-mCherry-H,1589,19496
346-696-10,R1,GAL1pr-mCherry-H,1391,19445
NA-696-1,R1,GAL1pr-mCherry-H,1,21266
NA-blank-2,R1,GAL1pr-mCherry-H,1,28103
NA-549-3,R1,GAL1pr-mCherry-H,0,N/A
346-696-3,R1,GAL1pr-mCherry-H,740,19466
346-696-7,R1,GAL1pr-mCherry-H,654,18933
346-696-11,R1,GAL1pr-mCherry-H,1392,19243
NA-696-2,R1,GAL1pr-mCherry-H,0,N/A
NA-696-3,R1,GAL1pr-mCherry-H,0,N/A
NA-blank-3,R1,GAL1pr-mCherry-H,0,N/A
346-696-4,R1,GAL1pr-mCherry-H,1110,19245
346-696-8,R1,GAL1pr-mCherry-H,1780,19524
346-696-12,R1,GAL1pr-mCherry-H,943,19327
NA-549-1,R1,GAL1pr-mCherry-H,1,24061
NA-696-4,R1,GAL1pr-mCherry-H,0,N/A
NA-696-6,R1,GAL1pr-mCherry-H,0,N/A
346-696-1,R1,GAL1pr-mCherry-H,1323,19539
349-696-1,R1,GAL1pr-mCherry-H,0,N/A
349-696-2,R1,GAL1pr-mCherry-H,0,N/A
349-696-3,R1,GAL1pr-mCherry-H,0,N/A
389-696-1,R1,GAL1pr-mCherry-H,675,18935
389-696-2,R1,GAL1pr-mCherry-H,504,18004
389-696-3,R1,GAL1pr-mCherry-H,516,18378
388-696-1,R1,GAL1pr-mCherry-H,524,18757
388-696-2,R1,GAL1pr-mCherry-H,353,18470
388-696-3,R1,GAL1pr-mCherry-H,604,19106
390-696-1,R1,GAL1pr-mCherry-H,334,17731
390-696-2,R1,GAL1pr-mCherry-H,427,18103
390-696-3,R1,GAL1pr-mCherry-H,294,18152
391-696-1,R1,GAL1pr-mCherry-H,451,18594
391-696-2,R1,GAL1pr-mCherry-H,433,17808
391-696-3,R1,GAL1pr-mCherry-H,438,18808
386-696-1,R1,GAL1pr-mCherry-H,0,N/A
386-696-2,R1,GAL1pr-mCherry-H,2,18395
386-696-3,R1,GAL1pr-mCherry-H,0,N/A
377-696-1,R1,GAL1pr-mCherry-H,0,N/A
377-696-2,R1,GAL1pr-mCherry-H,1,22097
377-696-3,R1,GAL1pr-mCherry-H,1,20940
378-696-1,R1,GAL1pr-mCherry-H,0,N/A
378-696-2,R1,GAL1pr-mCherry-H,0,N/A
378-696-3,R1,GAL1pr-mCherry-H,0,N/A
387-696-1,R1,GAL1pr-mCherry-H,0,N/A
387-696-2,R1,GAL1pr-mCherry-H,0,N/A
387-696-3,R1,GAL1pr-mCherry-H,0,N/A
350-696-1,R1,GAL1pr-mCherry-H,0,N/A
350-696-2,R1,GAL1pr-mCherry-H,0,N/A
350-696-3,R1,GAL1pr-mCherry-H,0,N/A
363-696-1,R1,GAL1pr-mCherry-H,6,23542
