Plate	Experiment	Group	Filename	Sample	Workspace	Compensation Source	Plot Title	Gate	X Parameter	Y Parameter	Count	Volume	Concentration	%Total	%Gated	X Mean	Y Mean	X Median	Y Median	X Peak	Y Peak	X SD	Y SD	X %CV	Y %CV	X rSD	Y rSD	X %rCV	Y %rCV
Plate(8)	Experiment	Group	346-696-1.fcs	346-696-1	Experiment	None	N/A	All Events	N/A	N/A	42173	18	2342.944	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(8)	Experiment	Group	346-696-1.fcs	346-696-1	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	33822	18	1879	80.198	80.198	389511	120018	386153	112050	230438	56329	163030.35	59246.52	41.86	49.36	215810.22	73413.16	55.89	65.52
Plate(8)	Experiment	Group	346-696-1.fcs	346-696-1	Experiment	None		R3	PHO5pr-mCherry - YL2-H		7312	18	406.222	17.338	73.12	7755	N/A	6541	N/A	7044	N/A	4905.38	N/A	63.26	N/A	4931.87	N/A	75.41	N/A
Plate(8)	Experiment	Group	346-696-1.fcs	346-696-1	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	18	555.556	23.712	23.712	8916	N/A	5966	N/A	7044	N/A	9801.52	N/A	109.94	N/A	6486.37	N/A	108.73	N/A
Plate(8)	Experiment	Group	346-696-1.fcs	346-696-1	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	18	555.556	23.712	29.567	302652	88	268178	87	203647	82	126481.53	8.98	41.79	10.15	124290.06	8.9	46.35	10.22
Plate(8)	Experiment	Group	346-696-1.fcs	346-696-1	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	33822	18	1879	80.198	80.198	389511	111	386153	105	230438	97	163030.35	30.94	41.86	27.89	215810.22	20.76	55.89	19.77
Plate(8)	Experiment	Group	346-696-1.fcs	346-696-1	Experiment	None		R3	PHO5pr-mCherry - YL2-H		7312	18	406.222	17.338	17.338	7755	N/A	6541	N/A	7044	N/A	4905.38	N/A	63.26	N/A	4931.87	N/A	75.41	N/A
Plate(8)	Experiment	Group		391-1009-1	Experiment	None	N/A	All Events	N/A	N/A	27382	21	1303.905	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(8)	Experiment	Group		391-1009-1	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	23840	21	1135.238	87.064	81.635	318918	97883	289815	81431	209905	48074	141205.55	51899.51	44.28	53.02	154352.74	47405.39	53.26	58.22
Plate(8)	Experiment	Group		391-1009-1	Experiment	None		R3	PHO5pr-mCherry - YL2-H		6547	21	311.762	23.91	61.975	5750	N/A	4767	N/A	5231	N/A	3807.55	N/A	66.22	N/A	3137.18	N/A	65.81	N/A
