Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
20241120 Y1H,Experiment,Group,,346-696-1,Experiment,None,N/A,All Events,N/A,N/A,58796,46,1278.174,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20241120 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R2,FSC - FSC-H,SSC - SSC-H,35375,46,769.022,60.166,60.166,445399,136097,463071,134462,525225,134108,157237.97,56554.03,35.30,41.55,181941.70,67378.24,39.29,50.11
20241120 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,3164,46,68.783,5.381,41.262,10681,N/A,11082,N/A,19472,N/A,5810.47,N/A,54.40,N/A,7318.11,N/A,66.04,N/A
20241120 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R1,PHO5pr-mCherry - YL2-H,,7668,46,166.696,13.042,13.042,19896,N/A,15571,N/A,0,N/A,19275.56,N/A,96.88,N/A,19462.83,N/A,125.00,N/A
20241120 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R1,FSC - FSC-H,FSC - FSC-W,7668,46,166.696,13.042,21.676,347997,91,337337,90,259125,84,127152.94,9.20,36.54,10.11,154315.68,10.38,45.75,11.53
20241120 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R2,FSC - FSC-H,FSC - FSC-W,35375,46,769.022,60.166,60.166,445399,112,463071,110,525225,110,157237.97,24.78,35.30,22.13,181941.70,16.31,39.29,14.83
20241120 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,3164,46,68.783,5.381,5.381,10681,N/A,11082,N/A,19472,N/A,5810.47,N/A,54.40,N/A,7318.11,N/A,66.04,N/A
20241120 Y1H,Experiment,Group,,390-696-1,Experiment,None,N/A,All Events,N/A,N/A,51627,36,1434.083,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20241120 Y1H,Experiment,Group,,390-696-1,Experiment,None,,R2,FSC - FSC-H,SSC - SSC-H,38152,36,1059.778,73.899,70.772,421476,128732,437214,128692,531454,56311,157419.83,57568.47,37.35,44.72,193186.48,72909.82,44.19,56.65
20241120 Y1H,Experiment,Group,,390-696-1,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,5923,36,164.528,11.473,57.089,6208,N/A,4974,N/A,4576,N/A,4320.09,N/A,69.59,N/A,3599.75,N/A,72.37,N/A
20241120 Y1H,Experiment,Group,,390-696-1,Experiment,None,,R1,PHO5pr-mCherry - YL2-H,,10000,36,277.778,19.370,19.370,4739,N/A,2653,N/A,4576,N/A,6250.73,N/A,131.89,N/A,3692.42,N/A,139.21,N/A
20241120 Y1H,Experiment,Group,,390-696-1,Experiment,None,,R1,FSC - FSC-H,FSC - FSC-W,10000,36,277.778,19.370,25.113,326076,90,301193,88,228297,84,123227.86,8.85,37.79,9.86,141976.74,8.90,47.14,10.11
20241120 Y1H,Experiment,Group,,390-696-1,Experiment,None,,R2,FSC - FSC-H,FSC - FSC-W,38152,36,1059.778,73.899,73.899,421476,111,437214,107,531454,112,157419.83,26.88,37.35,24.24,193186.48,17.79,44.19,16.63
20241120 Y1H,Experiment,Group,,390-696-1,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,5923,36,164.528,11.473,11.473,6208,N/A,4974,N/A,4576,N/A,4320.09,N/A,69.59,N/A,3599.75,N/A,72.37,N/A
20241120 Y1H,Experiment,Group,,390-696-2,Experiment,None,N/A,All Events,N/A,N/A,47591,37,1286.243,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20241120 Y1H,Experiment,Group,,390-696-2,Experiment,None,,R2,FSC - FSC-H,SSC - SSC-H,36200,37,978.378,76.065,74.062,385806,121616,388443,117502,232518,62463,154556.99,55183.31,40.06,45.38,192376.98,66636.94,49.53,56.71
20241120 Y1H,Experiment,Group,,390-696-2,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,6177,37,166.946,12.979,60.696,5771,N/A,4491,N/A,4453,N/A,4209.02,N/A,72.93,N/A,3337.33,N/A,74.31,N/A
20241120 Y1H,Experiment,Group,,390-696-2,Experiment,None,,R1,PHO5pr-mCherry - YL2-H,,10000,37,270.270,21.012,21.012,4346,N/A,2467,N/A,4453,N/A,5692.27,N/A,130.98,N/A,3309.16,N/A,134.16,N/A
20241120 Y1H,Experiment,Group,,390-696-2,Experiment,None,,R1,FSC - FSC-H,FSC - FSC-W,10000,37,270.270,21.012,26.908,301215,89,277283,87,205993,84,119024.26,8.62,39.51,9.74,128884.64,8.90,46.48,10.22
20241120 Y1H,Experiment,Group,,390-696-2,Experiment,None,,R2,FSC - FSC-H,FSC - FSC-W,36200,37,978.378,76.065,76.065,385806,107,388443,104,232518,111,154556.99,24.02,40.06,22.45,192376.98,16.31,49.53,15.68
20241120 Y1H,Experiment,Group,,390-696-2,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,6177,37,166.946,12.979,12.979,5771,N/A,4491,N/A,4453,N/A,4209.02,N/A,72.93,N/A,3337.33,N/A,74.31,N/A
20241120 Y1H,Experiment,Group,,390-696-3,Experiment,None,N/A,All Events,N/A,N/A,48699,35,1391.400,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20241120 Y1H,Experiment,Group,,390-696-3,Experiment,None,,R2,FSC - FSC-H,SSC - SSC-H,37433,35,1069.514,76.866,72.943,402402,119958,406671,113561,228333,60413,161518.98,59013.85,40.14,49.20,210876.12,73799.38,51.85,64.99
20241120 Y1H,Experiment,Group,,390-696-3,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,6009,35,171.686,12.339,57.846,5783,N/A,4656,N/A,3886,N/A,4084.97,N/A,70.64,N/A,3347.71,N/A,71.90,N/A
20241120 Y1H,Experiment,Group,,390-696-3,Experiment,None,,R1,PHO5pr-mCherry - YL2-H,,10000,35,285.714,20.534,20.534,4332,N/A,2437,N/A,3886,N/A,5735.49,N/A,132.40,N/A,3392.19,N/A,139.20,N/A
20241120 Y1H,Experiment,Group,,390-696-3,Experiment,None,,R1,FSC - FSC-H,FSC - FSC-W,10000,35,285.714,20.534,25.365,306911,89,275401,87,220184,82,119591.12,8.62,38.97,9.71,116607.23,8.90,42.34,10.22
20241120 Y1H,Experiment,Group,,390-696-3,Experiment,None,,R2,FSC - FSC-H,FSC - FSC-W,37433,35,1069.514,76.866,76.866,402402,110,406671,105,228333,98,161518.98,26.72,40.14,24.40,210876.12,17.79,51.85,16.94
20241120 Y1H,Experiment,Group,,390-696-3,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,6009,35,171.686,12.339,12.339,5783,N/A,4656,N/A,3886,N/A,4084.97,N/A,70.64,N/A,3347.71,N/A,71.90,N/A
20241120 Y1H,Experiment,Group,,346-696-2,Experiment,None,N/A,All Events,N/A,N/A,31435,50,628.700,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20241120 Y1H,Experiment,Group,,346-696-2,Experiment,None,,R2,FSC - FSC-H,SSC - SSC-H,18574,50,371.480,59.087,59.087,429859,126431,439866,120928,533705,54279,166667.89,59950.36,38.77,47.42,212050.34,74145.57,48.21,61.31
20241120 Y1H,Experiment,Group,,346-696-2,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,2193,50,43.860,6.976,55.901,9974,N/A,9646,N/A,10313,N/A,4943.60,N/A,49.57,N/A,5604.23,N/A,58.10,N/A
