well	Group	Pho4GFP	PHO5RFP	PHO2	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
1A	control	No-GFP	TRUE	ScPHO2	yH279	129704	93782	36800	34915	564351	1119	12345	1015.7	11390.5
1C	control	No-GFP	TRUE	pho2-	yh295	55964	48580	19159	18143	414549	1070	692	1391.6	910.2
1D	control	No-GFP	TRUE	ScPHO2	yH296	57787	47304	19826	18766	478225.5	1172	599	1284.2	662.1
1E	endogenous	ScPho4-mNeon	TRUE	ScPHO2	G1	50118	40333	18214	16669	560972	3271	17073	3026.5	15796.5
1F	endogenous	ScPho4-mNeon	TRUE	ScPHO2	G2	57115	41864	18602	17213	592957	3516	106219	3009	90696.6
1G	endogenous	ScPho4-mNeon	TRUE	ScPHO2	G3	57817	48501	22572	16132	569382.5	3346	30322.5	3061.3	29218.6
2A	exogenous	ScPho4-mNeon	TRUE	pho2-	A1	54030	46889	18865	17607	411602	1592	651	2101.4	865.2
2B	exogenous	ScPho4-mNeon	TRUE	pho2-	A2	52934	46218	19388	18179	441757	1724	769	2100.3	953.4
2C	exogenous	ScPho4-mNeon	TRUE	pho2-	A4	44335	41014	18391	17287	376255	1672	634	2439.7	930.5
2D	exogenous	ScPho4-EGFP	TRUE	pho2-	B1	49908	43784	19812	18966	385010.5	1513	558	2169.1	798
2E	exogenous	ScPho4-EGFP	TRUE	pho2-	B2	57082	48214	19819	18702	462648	1161	630	1332.7	727
2F	exogenous	ScPho4-EGFP	TRUE	pho2-	B3	43441	40106	19257	18259	381411	2299	80	3337.4	109.1
2G	exogenous	ScPho4-EGFP	TRUE	pho2-	B4	54732	47688	19348	18306	444889.5	1149	645	1382.7	783.6
3A	exogenous	CgPho4-mNeon	TRUE	pho2-	C1	55642	45350	20727	13075	470034	1784	6628	2051.4	7534.6
3B	exogenous	CgPho4-mNeon	TRUE	pho2-	C2	44158	15985	3865	3464	628602.5	4460.5	22167	3327.6	16778.7
3C	exogenous	CgPho4-mNeon	TRUE	pho2-	C3	50429	44006	20076	19097	426557	1773	6763	2264.9	8783.6
3D	exogenous	ScPho4-mNeon	TRUE	ScPHO2	D1	46280	41754	19574	9539	508067	3404	14262	3628.4	15319.8
3E	exogenous	ScPho4-mNeon	TRUE	ScPHO2	D3	45515	41035	19817	18827	498869	1967	7476	2126.1	8057.4
3F	exogenous	ScPho4-mNeon	TRUE	ScPHO2	D4	40271	37192	19498	17972	476194.5	3339	14650	3829.8	16951.7
3G	exogenous	ScPho4-mNeon	TRUE	ScPHO2	D5	43556	39650	19272	17738	485893	1943	8238.5	2159.2	9111.4
4A	exogenous	ScPho4-EGFP	TRUE	ScPHO2	E1	52928	48369	20398	18984	443664.5	1374	6151	1595.8	7293.2
4B	exogenous	ScPho4-EGFP	TRUE	ScPHO2	E2	45153	40289	19341	18253	494665	1395	7300	1477.5	7777.6
4C	exogenous	ScPho4-EGFP	TRUE	ScPHO2	E3	49436	43264	19469	9259	504824	1387	6665	1444.2	6906.4
4D	exogenous	CgPho4-mNeon	TRUE	ScPHO2	F1	50097	41326	19259	17680	456903	1770	7193	2048.6	8318.5
4E	exogenous	CgPho4-mNeon	TRUE	ScPHO2	F2	46205	39108	19380	18393	468591	1959	9840	2207.7	11091.1
4F	exogenous	CgPho4-mNeon	TRUE	ScPHO2	F3	51093	41617	19844	18582	493128	2096	11701	2231.8	12540.6
4G	exogenous	CgPho4-mNeon	TRUE	ScPHO2	F4	45343	34576	15629	14703	501299	2187	12424	2268.3	13056.6
5A	plasmid	ScPho4-mNeon	TRUE	ScPHO2	M1	59928	50479	20462	19157	509732	1874	7231	1969.3	7677.7
5B	plasmid	ScPho4-mNeon	TRUE	ScPHO2	M2	49674	44841	20743	19368	538593.5	2259	13879.5	2220.7	13357.2
5C	plasmid	ScPho4-mNeon	TRUE	ScPHO2	M3	50517	43621	19889	18550	499388	2018.5	8827.5	2172.4	9605.7
5D	plasmid	ScPho4-mNeon	TRUE	pho2-	P1	48034	41999	19626	18543	408914	2448	1743	3112.3	2231.7
5E	plasmid	ScPho4-mNeon	TRUE	pho2-	P2	44472	40682	19188	17950	403470	2180	1138.5	2888.2	1520.1
5F	plasmid	ScPho4-mNeon	TRUE	pho2-	P3	42894	39339	18857	17515	408424	2111	1137	2714.9	1472.7
5G	plasmid	ScPho4-EGFP	TRUE	ScPHO2	N1	56176	48027	21850	20063	562049	1748	10158	1620.1	9421.2
5H	plasmid	ScPho4-EGFP	TRUE	ScPHO2	N2	60129	49555	22731	20848	576184.5	1814	11728	1614.5	10546.3
6A	plasmid	ScPho4-EGFP	TRUE	ScPHO2	N3	52997	45603	20492	19191	524456	1506	7265	1503.8	7230.5
6B	plasmid	ScPho4-EGFP	TRUE	pho2-	Q1	64033	49501	21596	20104	515218.5	1801	2810	1752.8	2824.2
6C	plasmid	ScPho4-EGFP	TRUE	pho2-	Q2	61314	49853	20537	19308	482287.5	1518	1118	1624.5	1225.3
6D	plasmid	ScPho4-EGFP	TRUE	pho2-	Q3	48302	42707	19735	18522	457109.5	1650	1037	1848.8	1194.6
6E	plasmid	CgPho4-mNeon	TRUE	pho2-	R1	62328	49751	21138	19461	485015	2102	9875	2349.6	11069
6F	plasmid	CgPho4-mNeon	TRUE	pho2-	R2	57680	47073	20815	19296	477349	2016	10523.5	2291.6	12016.6
6G	plasmid	CgPho4-mNeon	TRUE	pho2-	R3	55393	47205	20611	19161	453474	1917	7780	2304.4	9457.3
2H	plasmid	CgPho4-mNeon	TRUE	ScPHO2	O1	73544	55806	21493	20017	511757	1837	6187	1886.3	6604.4
3H	plasmid	CgPho4-mNeon	TRUE	ScPHO2	O2	54236	44087	19987	18605	484938	1893	8129	2080.9	9016
4H	plasmid	CgPho4-mNeon	TRUE	ScPHO2	O3	68417	47217	19544	17626	555502	2262	12213.5	2086.1	11314.7
