Sample	Host	PHO5pr	Pho4	X1	X2	X3	X4	X5	X6
yH555+pH194	PHO2	WT	ScPho4	28.40709924	27.89882759	37.97880952	40.71853774	38.80878173	NA
yH632+pH194	PHO2	M1	ScPho4	9.806587031	9.249478528	9.34942029	14.1632069	14.62900332	14.52596958
yH825+pH194	PHO2	M2	ScPho4	34.10930108	35.17633721	35.15706897	44.83893258	43.9147093	40.94929825
yH555+pH188	PHO2	WT	CgPho4	1.791363636	1.713438596	2.266877076	3.282621359	3.514652778	2.770767123
yH632+pH188	PHO2	M1	CgPho4	3.655069444	2.425706522	0.704703196	4.071241379	4.182932331	1.312568093
yH825+pH188	PHO2	M2	CgPho4	0.919668675	1.016848249	0.84160221	2.383825758	2.543041667	1.920912409
yH373+pH194	pho2	WT	ScPho4	2.744491018	3.388617512	2.94495283	5.275027322	4.907114428	4.333316327
yH633+pH194	pho2	M1	ScPho4	0.767758242	0.490666023	0.857755102	1.265437882	0.83058642	1.442956811
yH979+pH194	pho2	M2	ScPho4	57.40837838	60.37234234	56.09553333	71.21690476	68.5402069	70.05235714
yH373+pH188	pho2	WT	CgPho4	55.06439614	59.96041096	58.52476923	68.6074216	58.68033582	70.27848387
yH633+pH188	pho2	M1	CgPho4	52.30989189	54.79343558	54.77468966	57.70664	61.42664	57.89882759
yH979+pH188	pho2	M2	CgPho4	2.188305085	2.275953488	3.164560669	2.453919598	2.617275132	2.587863636
